W0611 22:57:25.663000 2698593 site-packages/torch/distributed/run.py:803] 
W0611 22:57:25.663000 2698593 site-packages/torch/distributed/run.py:803] *****************************************
W0611 22:57:25.663000 2698593 site-packages/torch/distributed/run.py:803] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0611 22:57:25.663000 2698593 site-packages/torch/distributed/run.py:803] *****************************************
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Vocab size: 8,192
Distributed: world_size=4, rank=0, local_rank=0
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 6, 'n_kv_head': 2, 'n_embd': 768, 'window_pattern': 'SSSL', 'num_experts': 16, 'top_k': 2, 'moe_hidden_dim': 1792, 'router_z_loss_coef': 0.00075, 'load_balance_loss_coef': 0.003, 'router_sigmoid_affinity': True, 'router_expert_bias': True, 'router_bias_ema_beta': 0.9, 'router_bias_eta': 0.001, 'router_bias_clamp': 0.25, 'exclusive_attention': True, 'headwise_attention_gate': True, 'attention_gate_init': 0.98, 'attention_gate_scale': 1.0, 'value_mix_enabled': True, 'value_mix_learned': False, 'value_mix_start_layer': 1, 'value_mix_normalized': False, 'value_mix_first_init': 0.75, 'value_mix_local_init': 0.25, 'value_mix_gamma_init': 0.7905694150420949, 'dense_early_layers': 0, 'dense_hidden_dim': 3584}
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Parameter counts:
  wte                     : 6,291,456
  lm_head                 : 6,291,456
  transformer_matrices    : 541,200,384
  expert_total            : 528,482,304
  expert_active           : 66,060,288
  scalars                 : 56
  total                   : 553,783,352
  active                  : 91,361,336
Estimated active FLOPs per token: 6.047908e+08
AdamW peak lr: 0.003
Muon peak lr (attn_q): 0.0166277
Muon peak lr (attn_k): 0.0166277
Muon peak lr (attn_v): 0.0166277
Muon peak lr (attn_proj): 0.0166277
Muon peak lr (router): 0.0166277
Muon peak lr (expert_gate): 0.0253992
Muon peak lr (expert_up): 0.0253992
Muon peak lr (expert_down): 0.0253992
Time budget: 450s
Estimated total steps for LR schedule: 7000
Max train steps: 7000
Global batch tokens: 262,144
Device batch size: 32
Gradient accumulation steps: 1
Eval batch size: 64

step 00000 (0.0%) | loss: 9.509037 | lrm: 0.00 | dt: 10280ms | tok/sec: 25,500 | mfu: 0.4% | epoch: 1 | router_ent: 2.366 | load_cv: 0.217 | max_load: 0.089 | aux: 0.0109 | remaining: 71949s    
step 00001 (0.0%) | loss: 9.507692 | lrm: 0.01 | dt: 192ms | tok/sec: 1,366,649 | mfu: 20.9% | epoch: 1 | router_ent: 2.366 | load_cv: 0.216 | max_load: 0.088 | aux: 0.0109 | remaining: 1342s    
step 00002 (0.0%) | loss: 9.505500 | lrm: 0.02 | dt: 178ms | tok/sec: 1,471,989 | mfu: 22.5% | epoch: 1 | router_ent: 2.365 | load_cv: 0.215 | max_load: 0.089 | aux: 0.0109 | remaining: 1246s    
step 00003 (0.0%) | loss: 9.500885 | lrm: 0.03 | dt: 179ms | tok/sec: 1,463,093 | mfu: 22.4% | epoch: 1 | router_ent: 2.365 | load_cv: 0.217 | max_load: 0.089 | aux: 0.0109 | remaining: 1253s    
step 00004 (0.1%) | loss: 9.493172 | lrm: 0.04 | dt: 179ms | tok/sec: 1,467,943 | mfu: 22.4% | epoch: 1 | router_ent: 2.366 | load_cv: 0.217 | max_load: 0.089 | aux: 0.0109 | remaining: 1249s    
step 00005 (0.1%) | loss: 9.481317 | lrm: 0.05 | dt: 179ms | tok/sec: 1,460,413 | mfu: 22.3% | epoch: 1 | router_ent: 2.366 | load_cv: 0.221 | max_load: 0.090 | aux: 0.0109 | remaining: 1255s    
step 00006 (0.1%) | loss: 9.463649 | lrm: 0.06 | dt: 185ms | tok/sec: 1,420,774 | mfu: 21.7% | epoch: 1 | router_ent: 2.366 | load_cv: 0.219 | max_load: 0.089 | aux: 0.0109 | remaining: 1290s    
step 00007 (0.1%) | loss: 9.441569 | lrm: 0.07 | dt: 179ms | tok/sec: 1,461,704 | mfu: 22.3% | epoch: 1 | router_ent: 2.365 | load_cv: 0.221 | max_load: 0.090 | aux: 0.0109 | remaining: 1254s    
step 00008 (0.1%) | loss: 9.412310 | lrm: 0.08 | dt: 183ms | tok/sec: 1,432,342 | mfu: 21.9% | epoch: 1 | router_ent: 2.366 | load_cv: 0.222 | max_load: 0.089 | aux: 0.0109 | remaining: 1279s    
step 00009 (0.1%) | loss: 9.378540 | lrm: 0.09 | dt: 180ms | tok/sec: 1,453,601 | mfu: 22.2% | epoch: 1 | router_ent: 2.366 | load_cv: 0.227 | max_load: 0.090 | aux: 0.0109 | remaining: 1261s    
step 00010 (0.1%) | loss: 9.337959 | lrm: 0.10 | dt: 180ms | tok/sec: 1,457,503 | mfu: 22.3% | epoch: 1 | router_ent: 2.366 | load_cv: 0.231 | max_load: 0.090 | aux: 0.0109 | remaining: 1257s    
step 00011 (0.2%) | loss: 9.291225 | lrm: 0.11 | dt: 179ms | tok/sec: 1,463,926 | mfu: 22.4% | epoch: 1 | router_ent: 2.365 | load_cv: 0.235 | max_load: 0.091 | aux: 0.0109 | remaining: 1251s    
step 00012 (0.2%) | loss: 9.238488 | lrm: 0.12 | dt: 180ms | tok/sec: 1,459,240 | mfu: 22.3% | epoch: 1 | router_ent: 2.365 | load_cv: 0.243 | max_load: 0.092 | aux: 0.0109 | remaining: 1253s    
step 00013 (0.2%) | loss: 9.177140 | lrm: 0.13 | dt: 180ms | tok/sec: 1,453,980 | mfu: 22.2% | epoch: 1 | router_ent: 2.365 | load_cv: 0.255 | max_load: 0.094 | aux: 0.0109 | remaining: 1255s    
step 00014 (0.2%) | loss: 9.107458 | lrm: 0.14 | dt: 183ms | tok/sec: 1,431,253 | mfu: 21.9% | epoch: 1 | router_ent: 2.364 | load_cv: 0.262 | max_load: 0.096 | aux: 0.0109 | remaining: 1261s    
step 00015 (0.2%) | loss: 9.029617 | lrm: 0.15 | dt: 181ms | tok/sec: 1,445,806 | mfu: 22.1% | epoch: 1 | router_ent: 2.363 | load_cv: 0.274 | max_load: 0.096 | aux: 0.0109 | remaining: 1262s    
step 00016 (0.2%) | loss: 8.942064 | lrm: 0.16 | dt: 181ms | tok/sec: 1,450,315 | mfu: 22.2% | epoch: 1 | router_ent: 2.362 | load_cv: 0.290 | max_load: 0.098 | aux: 0.0109 | remaining: 1262s    
step 00017 (0.2%) | loss: 8.849118 | lrm: 0.17 | dt: 181ms | tok/sec: 1,444,465 | mfu: 22.1% | epoch: 1 | router_ent: 2.360 | load_cv: 0.310 | max_load: 0.101 | aux: 0.0109 | remaining: 1262s    
step 00018 (0.3%) | loss: 8.749745 | lrm: 0.18 | dt: 180ms | tok/sec: 1,454,120 | mfu: 22.2% | epoch: 1 | router_ent: 2.359 | load_cv: 0.334 | max_load: 0.104 | aux: 0.0109 | remaining: 1262s    
step 00019 (0.3%) | loss: 8.641733 | lrm: 0.19 | dt: 181ms | tok/sec: 1,448,817 | mfu: 22.1% | epoch: 1 | router_ent: 2.356 | load_cv: 0.355 | max_load: 0.106 | aux: 0.0109 | remaining: 1262s    
step 00020 (0.3%) | loss: 8.526647 | lrm: 0.20 | dt: 183ms | tok/sec: 1,435,476 | mfu: 21.9% | epoch: 1 | router_ent: 2.354 | load_cv: 0.379 | max_load: 0.110 | aux: 0.0108 | remaining: 1263s    
step 00021 (0.3%) | loss: 8.405612 | lrm: 0.21 | dt: 182ms | tok/sec: 1,443,044 | mfu: 22.1% | epoch: 1 | router_ent: 2.351 | load_cv: 0.404 | max_load: 0.113 | aux: 0.0108 | remaining: 1263s    
step 00022 (0.3%) | loss: 8.277023 | lrm: 0.22 | dt: 181ms | tok/sec: 1,448,595 | mfu: 22.1% | epoch: 1 | router_ent: 2.349 | load_cv: 0.434 | max_load: 0.117 | aux: 0.0108 | remaining: 1263s    
step 00023 (0.3%) | loss: 8.144655 | lrm: 0.23 | dt: 181ms | tok/sec: 1,446,980 | mfu: 22.1% | epoch: 1 | router_ent: 2.347 | load_cv: 0.461 | max_load: 0.121 | aux: 0.0108 | remaining: 1263s    
step 00024 (0.3%) | loss: 8.015419 | lrm: 0.24 | dt: 182ms | tok/sec: 1,443,464 | mfu: 22.1% | epoch: 1 | router_ent: 2.346 | load_cv: 0.487 | max_load: 0.125 | aux: 0.0108 | remaining: 1263s    
step 00025 (0.4%) | loss: 7.882859 | lrm: 0.25 | dt: 181ms | tok/sec: 1,445,003 | mfu: 22.1% | epoch: 1 | router_ent: 2.344 | load_cv: 0.517 | max_load: 0.129 | aux: 0.0107 | remaining: 1263s    
step 00026 (0.4%) | loss: 7.757204 | lrm: 0.26 | dt: 183ms | tok/sec: 1,428,970 | mfu: 21.8% | epoch: 1 | router_ent: 2.343 | load_cv: 0.535 | max_load: 0.131 | aux: 0.0107 | remaining: 1264s    
step 00027 (0.4%) | loss: 7.643209 | lrm: 0.27 | dt: 183ms | tok/sec: 1,435,172 | mfu: 21.9% | epoch: 1 | router_ent: 2.342 | load_cv: 0.544 | max_load: 0.132 | aux: 0.0106 | remaining: 1264s    
step 00028 (0.4%) | loss: 7.537674 | lrm: 0.28 | dt: 182ms | tok/sec: 1,443,140 | mfu: 22.1% | epoch: 1 | router_ent: 2.341 | load_cv: 0.551 | max_load: 0.132 | aux: 0.0106 | remaining: 1264s    
step 00029 (0.4%) | loss: 7.437409 | lrm: 0.29 | dt: 181ms | tok/sec: 1,451,297 | mfu: 22.2% | epoch: 1 | router_ent: 2.340 | load_cv: 0.549 | max_load: 0.132 | aux: 0.0105 | remaining: 1264s    
step 00030 (0.4%) | loss: 7.343834 | lrm: 0.30 | dt: 181ms | tok/sec: 1,448,660 | mfu: 22.1% | epoch: 1 | router_ent: 2.337 | load_cv: 0.537 | max_load: 0.131 | aux: 0.0104 | remaining: 1263s    
step 00031 (0.4%) | loss: 7.254110 | lrm: 0.31 | dt: 183ms | tok/sec: 1,431,258 | mfu: 21.9% | epoch: 1 | router_ent: 2.334 | load_cv: 0.515 | max_load: 0.128 | aux: 0.0104 | remaining: 1264s    
step 00032 (0.5%) | loss: 7.164721 | lrm: 0.32 | dt: 184ms | tok/sec: 1,426,407 | mfu: 21.8% | epoch: 1 | router_ent: 2.330 | load_cv: 0.489 | max_load: 0.125 | aux: 0.0103 | remaining: 1264s    
step 00033 (0.5%) | loss: 7.074507 | lrm: 0.33 | dt: 184ms | tok/sec: 1,422,763 | mfu: 21.7% | epoch: 1 | router_ent: 2.324 | load_cv: 0.462 | max_load: 0.121 | aux: 0.0102 | remaining: 1265s    
step 00034 (0.5%) | loss: 6.988436 | lrm: 0.34 | dt: 181ms | tok/sec: 1,449,569 | mfu: 22.1% | epoch: 1 | router_ent: 2.318 | load_cv: 0.435 | max_load: 0.117 | aux: 0.0102 | remaining: 1265s    
step 00035 (0.5%) | loss: 6.904120 | lrm: 0.35 | dt: 183ms | tok/sec: 1,431,165 | mfu: 21.9% | epoch: 1 | router_ent: 2.311 | load_cv: 0.414 | max_load: 0.116 | aux: 0.0101 | remaining: 1265s    
step 00036 (0.5%) | loss: 6.825228 | lrm: 0.36 | dt: 181ms | tok/sec: 1,445,489 | mfu: 22.1% | epoch: 1 | router_ent: 2.305 | load_cv: 0.392 | max_load: 0.115 | aux: 0.0101 | remaining: 1265s    
step 00037 (0.5%) | loss: 6.748148 | lrm: 0.37 | dt: 180ms | tok/sec: 1,458,692 | mfu: 22.3% | epoch: 1 | router_ent: 2.298 | load_cv: 0.372 | max_load: 0.114 | aux: 0.0101 | remaining: 1264s    
step 00038 (0.5%) | loss: 6.676333 | lrm: 0.38 | dt: 185ms | tok/sec: 1,419,281 | mfu: 21.7% | epoch: 1 | router_ent: 2.291 | load_cv: 0.351 | max_load: 0.111 | aux: 0.0100 | remaining: 1265s    
step 00039 (0.6%) | loss: 6.605816 | lrm: 0.39 | dt: 180ms | tok/sec: 1,454,682 | mfu: 22.2% | epoch: 1 | router_ent: 2.286 | load_cv: 0.334 | max_load: 0.110 | aux: 0.0100 | remaining: 1264s    
step 00040 (0.6%) | loss: 6.539581 | lrm: 0.40 | dt: 182ms | tok/sec: 1,437,546 | mfu: 22.0% | epoch: 1 | router_ent: 2.278 | load_cv: 0.323 | max_load: 0.108 | aux: 0.0100 | remaining: 1264s    
step 00041 (0.6%) | loss: 6.475758 | lrm: 0.41 | dt: 180ms | tok/sec: 1,458,476 | mfu: 22.3% | epoch: 1 | router_ent: 2.272 | load_cv: 0.311 | max_load: 0.106 | aux: 0.0099 | remaining: 1263s    
step 00042 (0.6%) | loss: 6.415938 | lrm: 0.42 | dt: 181ms | tok/sec: 1,450,152 | mfu: 22.2% | epoch: 1 | router_ent: 2.266 | load_cv: 0.307 | max_load: 0.106 | aux: 0.0099 | remaining: 1263s    
step 00043 (0.6%) | loss: 6.357695 | lrm: 0.43 | dt: 182ms | tok/sec: 1,442,269 | mfu: 22.0% | epoch: 1 | router_ent: 2.259 | load_cv: 0.301 | max_load: 0.105 | aux: 0.0098 | remaining: 1263s    
step 00044 (0.6%) | loss: 6.304925 | lrm: 0.44 | dt: 184ms | tok/sec: 1,425,521 | mfu: 21.8% | epoch: 1 | router_ent: 2.255 | load_cv: 0.297 | max_load: 0.105 | aux: 0.0098 | remaining: 1263s    
step 00045 (0.6%) | loss: 6.248754 | lrm: 0.45 | dt: 180ms | tok/sec: 1,453,006 | mfu: 22.2% | epoch: 1 | router_ent: 2.249 | load_cv: 0.296 | max_load: 0.103 | aux: 0.0097 | remaining: 1263s    
step 00046 (0.7%) | loss: 6.195796 | lrm: 0.46 | dt: 180ms | tok/sec: 1,454,678 | mfu: 22.2% | epoch: 1 | router_ent: 2.245 | load_cv: 0.289 | max_load: 0.102 | aux: 0.0097 | remaining: 1262s    
step 00047 (0.7%) | loss: 6.147880 | lrm: 0.47 | dt: 182ms | tok/sec: 1,443,834 | mfu: 22.1% | epoch: 1 | router_ent: 2.243 | load_cv: 0.285 | max_load: 0.102 | aux: 0.0096 | remaining: 1262s    
step 00048 (0.7%) | loss: 6.103197 | lrm: 0.48 | dt: 181ms | tok/sec: 1,450,791 | mfu: 22.2% | epoch: 1 | router_ent: 2.239 | load_cv: 0.282 | max_load: 0.101 | aux: 0.0095 | remaining: 1262s    
step 00049 (0.7%) | loss: 6.059998 | lrm: 0.49 | dt: 181ms | tok/sec: 1,446,803 | mfu: 22.1% | epoch: 1 | router_ent: 2.239 | load_cv: 0.281 | max_load: 0.100 | aux: 0.0095 | remaining: 1262s    
step 00050 (0.7%) | loss: 6.016863 | lrm: 0.50 | dt: 184ms | tok/sec: 1,422,781 | mfu: 21.7% | epoch: 1 | router_ent: 2.238 | load_cv: 0.281 | max_load: 0.100 | aux: 0.0094 | remaining: 1262s    
step 00051 (0.7%) | loss: 5.975507 | lrm: 0.51 | dt: 180ms | tok/sec: 1,457,778 | mfu: 22.3% | epoch: 1 | router_ent: 2.236 | load_cv: 0.278 | max_load: 0.100 | aux: 0.0093 | remaining: 1261s    
step 00052 (0.7%) | loss: 5.940206 | lrm: 0.52 | dt: 180ms | tok/sec: 1,453,843 | mfu: 22.2% | epoch: 1 | router_ent: 2.235 | load_cv: 0.281 | max_load: 0.101 | aux: 0.0092 | remaining: 1261s    
step 00053 (0.8%) | loss: 5.904845 | lrm: 0.53 | dt: 180ms | tok/sec: 1,455,664 | mfu: 22.2% | epoch: 1 | router_ent: 2.234 | load_cv: 0.282 | max_load: 0.100 | aux: 0.0091 | remaining: 1261s    
step 00054 (0.8%) | loss: 5.872976 | lrm: 0.54 | dt: 183ms | tok/sec: 1,430,538 | mfu: 21.9% | epoch: 1 | router_ent: 2.236 | load_cv: 0.278 | max_load: 0.099 | aux: 0.0090 | remaining: 1261s    
step 00055 (0.8%) | loss: 5.842384 | lrm: 0.55 | dt: 181ms | tok/sec: 1,449,678 | mfu: 22.2% | epoch: 1 | router_ent: 2.237 | load_cv: 0.271 | max_load: 0.098 | aux: 0.0089 | remaining: 1260s    
step 00056 (0.8%) | loss: 5.813535 | lrm: 0.56 | dt: 182ms | tok/sec: 1,438,168 | mfu: 22.0% | epoch: 1 | router_ent: 2.240 | load_cv: 0.273 | max_load: 0.099 | aux: 0.0088 | remaining: 1260s    
step 00057 (0.8%) | loss: 5.785404 | lrm: 0.57 | dt: 180ms | tok/sec: 1,457,099 | mfu: 22.3% | epoch: 1 | router_ent: 2.242 | load_cv: 0.275 | max_load: 0.099 | aux: 0.0087 | remaining: 1260s    
step 00058 (0.8%) | loss: 5.758910 | lrm: 0.58 | dt: 180ms | tok/sec: 1,454,257 | mfu: 22.2% | epoch: 1 | router_ent: 2.246 | load_cv: 0.273 | max_load: 0.100 | aux: 0.0086 | remaining: 1260s    
step 00059 (0.8%) | loss: 5.731178 | lrm: 0.59 | dt: 181ms | tok/sec: 1,445,632 | mfu: 22.1% | epoch: 1 | router_ent: 2.251 | load_cv: 0.280 | max_load: 0.101 | aux: 0.0085 | remaining: 1259s    
step 00060 (0.9%) | loss: 5.706755 | lrm: 0.60 | dt: 182ms | tok/sec: 1,437,031 | mfu: 22.0% | epoch: 1 | router_ent: 2.257 | load_cv: 0.283 | max_load: 0.102 | aux: 0.0083 | remaining: 1259s    
step 00061 (0.9%) | loss: 5.685719 | lrm: 0.61 | dt: 180ms | tok/sec: 1,453,282 | mfu: 22.2% | epoch: 1 | router_ent: 2.263 | load_cv: 0.286 | max_load: 0.102 | aux: 0.0082 | remaining: 1259s    
step 00062 (0.9%) | loss: 5.664303 | lrm: 0.62 | dt: 185ms | tok/sec: 1,419,224 | mfu: 21.7% | epoch: 1 | router_ent: 2.266 | load_cv: 0.287 | max_load: 0.101 | aux: 0.0081 | remaining: 1259s    
step 00063 (0.9%) | loss: 5.646417 | lrm: 0.63 | dt: 180ms | tok/sec: 1,452,647 | mfu: 22.2% | epoch: 1 | router_ent: 2.271 | load_cv: 0.290 | max_load: 0.100 | aux: 0.0080 | remaining: 1259s    
step 00064 (0.9%) | loss: 5.625704 | lrm: 0.64 | dt: 184ms | tok/sec: 1,424,769 | mfu: 21.8% | epoch: 1 | router_ent: 2.274 | load_cv: 0.292 | max_load: 0.099 | aux: 0.0078 | remaining: 1259s    
step 00065 (0.9%) | loss: 5.605871 | lrm: 0.65 | dt: 181ms | tok/sec: 1,452,202 | mfu: 22.2% | epoch: 1 | router_ent: 2.277 | load_cv: 0.295 | max_load: 0.100 | aux: 0.0077 | remaining: 1259s    
step 00066 (0.9%) | loss: 5.588930 | lrm: 0.66 | dt: 180ms | tok/sec: 1,452,674 | mfu: 22.2% | epoch: 1 | router_ent: 2.282 | load_cv: 0.299 | max_load: 0.101 | aux: 0.0076 | remaining: 1258s    
step 00067 (1.0%) | loss: 5.574753 | lrm: 0.67 | dt: 183ms | tok/sec: 1,435,000 | mfu: 21.9% | epoch: 1 | router_ent: 2.285 | load_cv: 0.297 | max_load: 0.100 | aux: 0.0075 | remaining: 1258s    
step 00068 (1.0%) | loss: 5.558448 | lrm: 0.68 | dt: 181ms | tok/sec: 1,445,149 | mfu: 22.1% | epoch: 1 | router_ent: 2.289 | load_cv: 0.299 | max_load: 0.100 | aux: 0.0073 | remaining: 1258s    
step 00069 (1.0%) | loss: 5.542022 | lrm: 0.69 | dt: 181ms | tok/sec: 1,448,511 | mfu: 22.1% | epoch: 1 | router_ent: 2.293 | load_cv: 0.298 | max_load: 0.100 | aux: 0.0072 | remaining: 1258s    
step 00070 (1.0%) | loss: 5.526208 | lrm: 0.70 | dt: 182ms | tok/sec: 1,441,018 | mfu: 22.0% | epoch: 1 | router_ent: 2.298 | load_cv: 0.300 | max_load: 0.101 | aux: 0.0070 | remaining: 1258s    
step 00071 (1.0%) | loss: 5.514471 | lrm: 0.71 | dt: 182ms | tok/sec: 1,442,105 | mfu: 22.0% | epoch: 1 | router_ent: 2.301 | load_cv: 0.300 | max_load: 0.100 | aux: 0.0069 | remaining: 1258s    
step 00072 (1.0%) | loss: 5.502663 | lrm: 0.72 | dt: 181ms | tok/sec: 1,448,446 | mfu: 22.1% | epoch: 1 | router_ent: 2.304 | load_cv: 0.298 | max_load: 0.100 | aux: 0.0068 | remaining: 1257s    
step 00073 (1.0%) | loss: 5.491466 | lrm: 0.73 | dt: 181ms | tok/sec: 1,447,293 | mfu: 22.1% | epoch: 1 | router_ent: 2.303 | load_cv: 0.301 | max_load: 0.100 | aux: 0.0066 | remaining: 1257s    
step 00074 (1.1%) | loss: 5.479944 | lrm: 0.74 | dt: 184ms | tok/sec: 1,428,111 | mfu: 21.8% | epoch: 1 | router_ent: 2.307 | load_cv: 0.303 | max_load: 0.100 | aux: 0.0065 | remaining: 1257s    
step 00075 (1.1%) | loss: 5.466768 | lrm: 0.75 | dt: 183ms | tok/sec: 1,434,393 | mfu: 21.9% | epoch: 1 | router_ent: 2.306 | load_cv: 0.308 | max_load: 0.101 | aux: 0.0064 | remaining: 1257s    
step 00076 (1.1%) | loss: 5.456785 | lrm: 0.76 | dt: 181ms | tok/sec: 1,444,428 | mfu: 22.1% | epoch: 1 | router_ent: 2.308 | load_cv: 0.303 | max_load: 0.101 | aux: 0.0062 | remaining: 1257s    
step 00077 (1.1%) | loss: 5.447645 | lrm: 0.77 | dt: 183ms | tok/sec: 1,434,944 | mfu: 21.9% | epoch: 1 | router_ent: 2.305 | load_cv: 0.312 | max_load: 0.102 | aux: 0.0062 | remaining: 1257s    
step 00078 (1.1%) | loss: 5.440401 | lrm: 0.78 | dt: 182ms | tok/sec: 1,444,283 | mfu: 22.1% | epoch: 1 | router_ent: 2.308 | load_cv: 0.315 | max_load: 0.101 | aux: 0.0060 | remaining: 1257s    
step 00079 (1.1%) | loss: 5.430049 | lrm: 0.79 | dt: 182ms | tok/sec: 1,440,746 | mfu: 22.0% | epoch: 1 | router_ent: 2.306 | load_cv: 0.319 | max_load: 0.101 | aux: 0.0059 | remaining: 1257s    
step 00080 (1.1%) | loss: 5.421357 | lrm: 0.80 | dt: 182ms | tok/sec: 1,439,692 | mfu: 22.0% | epoch: 1 | router_ent: 2.306 | load_cv: 0.316 | max_load: 0.101 | aux: 0.0058 | remaining: 1256s    
