W0611 23:19:48.543000 2897080 site-packages/torch/distributed/run.py:803] 
W0611 23:19:48.543000 2897080 site-packages/torch/distributed/run.py:803] *****************************************
W0611 23:19:48.543000 2897080 site-packages/torch/distributed/run.py:803] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0611 23:19:48.543000 2897080 site-packages/torch/distributed/run.py:803] *****************************************
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Vocab size: 8,192
Distributed: world_size=4, rank=0, local_rank=0
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 8, 'n_kv_head': 2, 'n_embd': 1024, 'window_pattern': 'SSSL', 'num_experts': 16, 'top_k': 2, 'moe_hidden_dim': 2304, 'router_z_loss_coef': 0.00075, 'load_balance_loss_coef': 0.003, 'router_sigmoid_affinity': True, 'router_expert_bias': True, 'router_bias_ema_beta': 0.9, 'router_bias_eta': 0.001, 'router_bias_clamp': 0.25, 'exclusive_attention': True, 'headwise_attention_gate': True, 'attention_gate_init': 0.98, 'attention_gate_scale': 1.0, 'value_mix_enabled': True, 'value_mix_learned': False, 'value_mix_start_layer': 1, 'value_mix_normalized': False, 'value_mix_first_init': 0.75, 'value_mix_local_init': 0.25, 'value_mix_gamma_init': 0.7905694150420949, 'dense_early_layers': 0, 'dense_hidden_dim': 4608}
Parameter counts:
  wte                     : 8,388,608
  lm_head                 : 8,388,608
  transformer_matrices    : 1,158,922,240
  expert_total            : 1,132,462,080
  expert_active           : 141,557,760
  scalars                 : 90
  total                   : 1,175,699,546
  active                  : 184,795,226
Estimated active FLOPs per token: 1.222017e+09
AdamW peak lr: 0.001
Muon peak lr (attn_q): 0.0064
Muon peak lr (attn_k): 0.0064
Muon peak lr (attn_v): 0.0064
Muon peak lr (attn_proj): 0.0064
Muon peak lr (router): 0.0064
Muon peak lr (expert_gate): 0.0096
Muon peak lr (expert_up): 0.0096
Muon peak lr (expert_down): 0.0096
Time budget: 450s
Estimated total steps for LR schedule: 14099
Max train steps: 14099
Global batch tokens: 262,144
Device batch size: 32
Gradient accumulation steps: 1
Eval batch size: 64

step 00000 (0.0%) | loss: 9.501047 | lrm: 0.00 | dt: 10316ms | tok/sec: 25,411 | mfu: 0.8% | epoch: 1 | router_ent: 2.368 | load_cv: 0.232 | max_load: 0.093 | aux: 0.0109 | remaining: 145432s    
step 00001 (0.0%) | loss: 9.502820 | lrm: 0.01 | dt: 359ms | tok/sec: 729,695 | mfu: 22.5% | epoch: 1 | router_ent: 2.368 | load_cv: 0.225 | max_load: 0.092 | aux: 0.0109 | remaining: 5064s    
step 00002 (0.0%) | loss: 9.501829 | lrm: 0.02 | dt: 338ms | tok/sec: 774,651 | mfu: 23.9% | epoch: 1 | router_ent: 2.367 | load_cv: 0.226 | max_load: 0.092 | aux: 0.0109 | remaining: 4770s    
step 00003 (0.0%) | loss: 9.500357 | lrm: 0.03 | dt: 351ms | tok/sec: 746,283 | mfu: 23.0% | epoch: 1 | router_ent: 2.366 | load_cv: 0.230 | max_load: 0.093 | aux: 0.0109 | remaining: 4951s    
step 00004 (0.0%) | loss: 9.496142 | lrm: 0.04 | dt: 342ms | tok/sec: 767,459 | mfu: 23.7% | epoch: 1 | router_ent: 2.367 | load_cv: 0.230 | max_load: 0.093 | aux: 0.0109 | remaining: 4814s    
step 00005 (0.0%) | loss: 9.493072 | lrm: 0.05 | dt: 340ms | tok/sec: 772,053 | mfu: 23.8% | epoch: 1 | router_ent: 2.366 | load_cv: 0.230 | max_load: 0.093 | aux: 0.0109 | remaining: 4785s    
step 00006 (0.0%) | loss: 9.487915 | lrm: 0.06 | dt: 347ms | tok/sec: 756,343 | mfu: 23.4% | epoch: 1 | router_ent: 2.367 | load_cv: 0.231 | max_load: 0.093 | aux: 0.0109 | remaining: 4884s    
step 00007 (0.0%) | loss: 9.479950 | lrm: 0.07 | dt: 341ms | tok/sec: 768,413 | mfu: 23.7% | epoch: 1 | router_ent: 2.367 | load_cv: 0.230 | max_load: 0.092 | aux: 0.0109 | remaining: 4807s    
step 00008 (0.1%) | loss: 9.469822 | lrm: 0.08 | dt: 340ms | tok/sec: 770,754 | mfu: 23.8% | epoch: 1 | router_ent: 2.366 | load_cv: 0.229 | max_load: 0.092 | aux: 0.0109 | remaining: 4792s    
step 00009 (0.1%) | loss: 9.458740 | lrm: 0.09 | dt: 347ms | tok/sec: 754,952 | mfu: 23.3% | epoch: 1 | router_ent: 2.366 | load_cv: 0.229 | max_load: 0.092 | aux: 0.0109 | remaining: 4892s    
step 00010 (0.1%) | loss: 9.444128 | lrm: 0.10 | dt: 343ms | tok/sec: 763,681 | mfu: 23.6% | epoch: 1 | router_ent: 2.367 | load_cv: 0.224 | max_load: 0.092 | aux: 0.0109 | remaining: 4836s    
step 00011 (0.1%) | loss: 9.427309 | lrm: 0.11 | dt: 340ms | tok/sec: 771,538 | mfu: 23.8% | epoch: 1 | router_ent: 2.366 | load_cv: 0.225 | max_load: 0.092 | aux: 0.0109 | remaining: 4786s    
step 00012 (0.1%) | loss: 9.407891 | lrm: 0.12 | dt: 345ms | tok/sec: 759,503 | mfu: 23.4% | epoch: 1 | router_ent: 2.366 | load_cv: 0.227 | max_load: 0.092 | aux: 0.0109 | remaining: 4824s    
step 00013 (0.1%) | loss: 9.385699 | lrm: 0.13 | dt: 343ms | tok/sec: 763,171 | mfu: 23.6% | epoch: 1 | router_ent: 2.365 | load_cv: 0.234 | max_load: 0.093 | aux: 0.0109 | remaining: 4828s    
step 00014 (0.1%) | loss: 9.360287 | lrm: 0.14 | dt: 342ms | tok/sec: 767,185 | mfu: 23.7% | epoch: 1 | router_ent: 2.366 | load_cv: 0.232 | max_load: 0.092 | aux: 0.0109 | remaining: 4824s    
step 00015 (0.1%) | loss: 9.330608 | lrm: 0.15 | dt: 342ms | tok/sec: 766,056 | mfu: 23.7% | epoch: 1 | router_ent: 2.365 | load_cv: 0.234 | max_load: 0.092 | aux: 0.0109 | remaining: 4823s    
step 00016 (0.1%) | loss: 9.297091 | lrm: 0.16 | dt: 343ms | tok/sec: 765,002 | mfu: 23.6% | epoch: 1 | router_ent: 2.365 | load_cv: 0.238 | max_load: 0.092 | aux: 0.0109 | remaining: 4823s    
step 00017 (0.1%) | loss: 9.260998 | lrm: 0.17 | dt: 343ms | tok/sec: 763,288 | mfu: 23.6% | epoch: 1 | router_ent: 2.364 | load_cv: 0.242 | max_load: 0.093 | aux: 0.0109 | remaining: 4825s    
step 00018 (0.1%) | loss: 9.221032 | lrm: 0.18 | dt: 344ms | tok/sec: 762,081 | mfu: 23.5% | epoch: 1 | router_ent: 2.364 | load_cv: 0.250 | max_load: 0.094 | aux: 0.0109 | remaining: 4827s    
step 00019 (0.1%) | loss: 9.176792 | lrm: 0.19 | dt: 342ms | tok/sec: 767,105 | mfu: 23.7% | epoch: 1 | router_ent: 2.363 | load_cv: 0.257 | max_load: 0.095 | aux: 0.0109 | remaining: 4825s    
step 00020 (0.1%) | loss: 9.128996 | lrm: 0.20 | dt: 344ms | tok/sec: 763,129 | mfu: 23.6% | epoch: 1 | router_ent: 2.362 | load_cv: 0.262 | max_load: 0.096 | aux: 0.0109 | remaining: 4825s    
step 00021 (0.1%) | loss: 9.077387 | lrm: 0.21 | dt: 345ms | tok/sec: 760,593 | mfu: 23.5% | epoch: 1 | router_ent: 2.361 | load_cv: 0.268 | max_load: 0.096 | aux: 0.0109 | remaining: 4828s    
step 00022 (0.2%) | loss: 9.019965 | lrm: 0.22 | dt: 344ms | tok/sec: 762,630 | mfu: 23.5% | epoch: 1 | router_ent: 2.360 | load_cv: 0.283 | max_load: 0.099 | aux: 0.0109 | remaining: 4828s    
step 00023 (0.2%) | loss: 8.957817 | lrm: 0.23 | dt: 344ms | tok/sec: 763,128 | mfu: 23.6% | epoch: 1 | router_ent: 2.359 | load_cv: 0.293 | max_load: 0.100 | aux: 0.0109 | remaining: 4828s    
step 00024 (0.2%) | loss: 8.893631 | lrm: 0.24 | dt: 346ms | tok/sec: 757,481 | mfu: 23.4% | epoch: 1 | router_ent: 2.359 | load_cv: 0.305 | max_load: 0.102 | aux: 0.0109 | remaining: 4831s    
step 00025 (0.2%) | loss: 8.820772 | lrm: 0.25 | dt: 343ms | tok/sec: 764,734 | mfu: 23.6% | epoch: 1 | router_ent: 2.358 | load_cv: 0.321 | max_load: 0.104 | aux: 0.0109 | remaining: 4830s    
step 00026 (0.2%) | loss: 8.744228 | lrm: 0.26 | dt: 341ms | tok/sec: 767,680 | mfu: 23.7% | epoch: 1 | router_ent: 2.357 | load_cv: 0.335 | max_load: 0.107 | aux: 0.0109 | remaining: 4828s    
step 00027 (0.2%) | loss: 8.666423 | lrm: 0.27 | dt: 345ms | tok/sec: 759,478 | mfu: 23.4% | epoch: 1 | router_ent: 2.356 | load_cv: 0.346 | max_load: 0.109 | aux: 0.0109 | remaining: 4830s    
step 00028 (0.2%) | loss: 8.582363 | lrm: 0.28 | dt: 346ms | tok/sec: 757,026 | mfu: 23.4% | epoch: 1 | router_ent: 2.354 | load_cv: 0.361 | max_load: 0.111 | aux: 0.0109 | remaining: 4832s    
step 00029 (0.2%) | loss: 8.493955 | lrm: 0.29 | dt: 344ms | tok/sec: 762,370 | mfu: 23.5% | epoch: 1 | router_ent: 2.354 | load_cv: 0.380 | max_load: 0.113 | aux: 0.0109 | remaining: 4832s    
step 00030 (0.2%) | loss: 8.402895 | lrm: 0.30 | dt: 348ms | tok/sec: 753,967 | mfu: 23.3% | epoch: 1 | router_ent: 2.353 | load_cv: 0.397 | max_load: 0.117 | aux: 0.0109 | remaining: 4834s    
step 00031 (0.2%) | loss: 8.309206 | lrm: 0.31 | dt: 348ms | tok/sec: 753,719 | mfu: 23.3% | epoch: 1 | router_ent: 2.352 | load_cv: 0.412 | max_load: 0.119 | aux: 0.0109 | remaining: 4837s    
step 00032 (0.2%) | loss: 8.210336 | lrm: 0.32 | dt: 346ms | tok/sec: 757,699 | mfu: 23.4% | epoch: 1 | router_ent: 2.351 | load_cv: 0.432 | max_load: 0.122 | aux: 0.0109 | remaining: 4838s    
step 00033 (0.2%) | loss: 8.105943 | lrm: 0.33 | dt: 347ms | tok/sec: 755,248 | mfu: 23.3% | epoch: 1 | router_ent: 2.350 | load_cv: 0.455 | max_load: 0.126 | aux: 0.0109 | remaining: 4839s    
step 00034 (0.2%) | loss: 8.003711 | lrm: 0.34 | dt: 346ms | tok/sec: 757,920 | mfu: 23.4% | epoch: 1 | router_ent: 2.351 | load_cv: 0.464 | max_load: 0.127 | aux: 0.0108 | remaining: 4840s    
step 00035 (0.2%) | loss: 7.901081 | lrm: 0.35 | dt: 347ms | tok/sec: 755,382 | mfu: 23.3% | epoch: 1 | router_ent: 2.350 | load_cv: 0.480 | max_load: 0.130 | aux: 0.0108 | remaining: 4841s    
step 00036 (0.3%) | loss: 7.801567 | lrm: 0.36 | dt: 347ms | tok/sec: 756,236 | mfu: 23.3% | epoch: 1 | router_ent: 2.350 | load_cv: 0.497 | max_load: 0.133 | aux: 0.0108 | remaining: 4842s    
step 00037 (0.3%) | loss: 7.704024 | lrm: 0.37 | dt: 351ms | tok/sec: 747,064 | mfu: 23.1% | epoch: 1 | router_ent: 2.351 | load_cv: 0.503 | max_load: 0.133 | aux: 0.0108 | remaining: 4845s    
step 00038 (0.3%) | loss: 7.612779 | lrm: 0.38 | dt: 348ms | tok/sec: 754,235 | mfu: 23.3% | epoch: 1 | router_ent: 2.351 | load_cv: 0.511 | max_load: 0.135 | aux: 0.0107 | remaining: 4847s    
step 00039 (0.3%) | loss: 7.525791 | lrm: 0.39 | dt: 347ms | tok/sec: 754,824 | mfu: 23.3% | epoch: 1 | router_ent: 2.351 | load_cv: 0.515 | max_load: 0.136 | aux: 0.0107 | remaining: 4847s    
step 00040 (0.3%) | loss: 7.444034 | lrm: 0.40 | dt: 346ms | tok/sec: 757,621 | mfu: 23.4% | epoch: 1 | router_ent: 2.351 | load_cv: 0.520 | max_load: 0.136 | aux: 0.0107 | remaining: 4848s    
step 00041 (0.3%) | loss: 7.368030 | lrm: 0.41 | dt: 347ms | tok/sec: 755,038 | mfu: 23.3% | epoch: 1 | router_ent: 2.351 | load_cv: 0.513 | max_load: 0.135 | aux: 0.0106 | remaining: 4848s    
step 00042 (0.3%) | loss: 7.297701 | lrm: 0.42 | dt: 345ms | tok/sec: 760,735 | mfu: 23.5% | epoch: 1 | router_ent: 2.350 | load_cv: 0.508 | max_load: 0.134 | aux: 0.0106 | remaining: 4848s    
step 00043 (0.3%) | loss: 7.228397 | lrm: 0.43 | dt: 346ms | tok/sec: 757,269 | mfu: 23.4% | epoch: 1 | router_ent: 2.350 | load_cv: 0.493 | max_load: 0.131 | aux: 0.0105 | remaining: 4848s    
step 00044 (0.3%) | loss: 7.164774 | lrm: 0.44 | dt: 345ms | tok/sec: 759,886 | mfu: 23.5% | epoch: 1 | router_ent: 2.348 | load_cv: 0.482 | max_load: 0.128 | aux: 0.0105 | remaining: 4848s    
step 00045 (0.3%) | loss: 7.096859 | lrm: 0.45 | dt: 346ms | tok/sec: 757,042 | mfu: 23.4% | epoch: 1 | router_ent: 2.345 | load_cv: 0.471 | max_load: 0.127 | aux: 0.0104 | remaining: 4848s    
step 00046 (0.3%) | loss: 7.029885 | lrm: 0.46 | dt: 344ms | tok/sec: 761,199 | mfu: 23.5% | epoch: 1 | router_ent: 2.342 | load_cv: 0.449 | max_load: 0.122 | aux: 0.0104 | remaining: 4847s    
step 00047 (0.3%) | loss: 6.966794 | lrm: 0.47 | dt: 347ms | tok/sec: 755,744 | mfu: 23.3% | epoch: 1 | router_ent: 2.339 | load_cv: 0.429 | max_load: 0.118 | aux: 0.0104 | remaining: 4848s    
step 00048 (0.3%) | loss: 6.904322 | lrm: 0.48 | dt: 345ms | tok/sec: 760,124 | mfu: 23.5% | epoch: 1 | router_ent: 2.334 | load_cv: 0.408 | max_load: 0.115 | aux: 0.0103 | remaining: 4847s    
step 00049 (0.3%) | loss: 6.842992 | lrm: 0.49 | dt: 347ms | tok/sec: 756,143 | mfu: 23.3% | epoch: 1 | router_ent: 2.330 | load_cv: 0.386 | max_load: 0.111 | aux: 0.0103 | remaining: 4848s    
step 00050 (0.4%) | loss: 6.782395 | lrm: 0.50 | dt: 344ms | tok/sec: 761,406 | mfu: 23.5% | epoch: 1 | router_ent: 2.324 | load_cv: 0.366 | max_load: 0.108 | aux: 0.0103 | remaining: 4847s    
step 00051 (0.4%) | loss: 6.722953 | lrm: 0.51 | dt: 345ms | tok/sec: 758,844 | mfu: 23.4% | epoch: 1 | router_ent: 2.318 | load_cv: 0.346 | max_load: 0.105 | aux: 0.0103 | remaining: 4847s    
step 00052 (0.4%) | loss: 6.669356 | lrm: 0.52 | dt: 346ms | tok/sec: 758,300 | mfu: 23.4% | epoch: 1 | router_ent: 2.313 | load_cv: 0.329 | max_load: 0.103 | aux: 0.0102 | remaining: 4847s    
step 00053 (0.4%) | loss: 6.615693 | lrm: 0.53 | dt: 347ms | tok/sec: 755,342 | mfu: 23.3% | epoch: 1 | router_ent: 2.308 | load_cv: 0.317 | max_load: 0.101 | aux: 0.0102 | remaining: 4847s    
step 00054 (0.4%) | loss: 6.565449 | lrm: 0.54 | dt: 347ms | tok/sec: 754,535 | mfu: 23.3% | epoch: 1 | router_ent: 2.301 | load_cv: 0.305 | max_load: 0.100 | aux: 0.0102 | remaining: 4847s    
step 00055 (0.4%) | loss: 6.517020 | lrm: 0.55 | dt: 347ms | tok/sec: 754,703 | mfu: 23.3% | epoch: 1 | router_ent: 2.296 | load_cv: 0.294 | max_load: 0.098 | aux: 0.0102 | remaining: 4848s    
step 00056 (0.4%) | loss: 6.470214 | lrm: 0.56 | dt: 344ms | tok/sec: 762,173 | mfu: 23.5% | epoch: 1 | router_ent: 2.290 | load_cv: 0.285 | max_load: 0.097 | aux: 0.0102 | remaining: 4847s    
step 00057 (0.4%) | loss: 6.424162 | lrm: 0.57 | dt: 346ms | tok/sec: 757,024 | mfu: 23.4% | epoch: 1 | router_ent: 2.285 | load_cv: 0.279 | max_load: 0.097 | aux: 0.0101 | remaining: 4847s    
step 00058 (0.4%) | loss: 6.379728 | lrm: 0.58 | dt: 345ms | tok/sec: 759,055 | mfu: 23.4% | epoch: 1 | router_ent: 2.279 | load_cv: 0.276 | max_load: 0.096 | aux: 0.0101 | remaining: 4847s    
step 00059 (0.4%) | loss: 6.333977 | lrm: 0.59 | dt: 345ms | tok/sec: 760,231 | mfu: 23.5% | epoch: 1 | router_ent: 2.274 | load_cv: 0.271 | max_load: 0.096 | aux: 0.0101 | remaining: 4846s    
step 00060 (0.4%) | loss: 6.291214 | lrm: 0.60 | dt: 345ms | tok/sec: 758,858 | mfu: 23.4% | epoch: 1 | router_ent: 2.270 | load_cv: 0.267 | max_load: 0.095 | aux: 0.0100 | remaining: 4846s    
step 00061 (0.4%) | loss: 6.251628 | lrm: 0.61 | dt: 347ms | tok/sec: 756,060 | mfu: 23.3% | epoch: 1 | router_ent: 2.265 | load_cv: 0.261 | max_load: 0.094 | aux: 0.0100 | remaining: 4846s    
step 00062 (0.4%) | loss: 6.212309 | lrm: 0.62 | dt: 345ms | tok/sec: 758,877 | mfu: 23.4% | epoch: 1 | router_ent: 2.261 | load_cv: 0.258 | max_load: 0.094 | aux: 0.0099 | remaining: 4846s    
step 00063 (0.4%) | loss: 6.177113 | lrm: 0.63 | dt: 347ms | tok/sec: 755,272 | mfu: 23.3% | epoch: 1 | router_ent: 2.258 | load_cv: 0.254 | max_load: 0.093 | aux: 0.0099 | remaining: 4846s    
step 00064 (0.5%) | loss: 6.139278 | lrm: 0.64 | dt: 345ms | tok/sec: 760,056 | mfu: 23.5% | epoch: 1 | router_ent: 2.253 | load_cv: 0.256 | max_load: 0.093 | aux: 0.0099 | remaining: 4845s    
step 00065 (0.5%) | loss: 6.102225 | lrm: 0.65 | dt: 344ms | tok/sec: 761,397 | mfu: 23.5% | epoch: 1 | router_ent: 2.249 | load_cv: 0.257 | max_load: 0.093 | aux: 0.0098 | remaining: 4845s    
step 00066 (0.5%) | loss: 6.069203 | lrm: 0.66 | dt: 345ms | tok/sec: 760,325 | mfu: 23.5% | epoch: 1 | router_ent: 2.245 | load_cv: 0.256 | max_load: 0.093 | aux: 0.0098 | remaining: 4844s    
step 00067 (0.5%) | loss: 6.038528 | lrm: 0.67 | dt: 345ms | tok/sec: 759,257 | mfu: 23.4% | epoch: 1 | router_ent: 2.242 | load_cv: 0.256 | max_load: 0.093 | aux: 0.0097 | remaining: 4844s    
step 00068 (0.5%) | loss: 6.006150 | lrm: 0.68 | dt: 348ms | tok/sec: 753,656 | mfu: 23.3% | epoch: 1 | router_ent: 2.237 | load_cv: 0.254 | max_load: 0.092 | aux: 0.0097 | remaining: 4844s    
step 00069 (0.5%) | loss: 5.973449 | lrm: 0.69 | dt: 345ms | tok/sec: 759,327 | mfu: 23.4% | epoch: 1 | router_ent: 2.233 | load_cv: 0.254 | max_load: 0.092 | aux: 0.0096 | remaining: 4844s    
step 00070 (0.5%) | loss: 5.942594 | lrm: 0.70 | dt: 349ms | tok/sec: 751,314 | mfu: 23.2% | epoch: 1 | router_ent: 2.229 | load_cv: 0.251 | max_load: 0.092 | aux: 0.0096 | remaining: 4844s    
step 00071 (0.5%) | loss: 5.916229 | lrm: 0.71 | dt: 343ms | tok/sec: 763,313 | mfu: 23.6% | epoch: 1 | router_ent: 2.227 | load_cv: 0.247 | max_load: 0.091 | aux: 0.0095 | remaining: 4844s    
step 00072 (0.5%) | loss: 5.889529 | lrm: 0.72 | dt: 345ms | tok/sec: 759,196 | mfu: 23.4% | epoch: 1 | router_ent: 2.224 | load_cv: 0.247 | max_load: 0.092 | aux: 0.0095 | remaining: 4843s    
step 00073 (0.5%) | loss: 5.864170 | lrm: 0.73 | dt: 344ms | tok/sec: 762,942 | mfu: 23.6% | epoch: 1 | router_ent: 2.223 | load_cv: 0.243 | max_load: 0.092 | aux: 0.0094 | remaining: 4843s    
step 00074 (0.5%) | loss: 5.839480 | lrm: 0.74 | dt: 345ms | tok/sec: 758,909 | mfu: 23.4% | epoch: 1 | router_ent: 2.223 | load_cv: 0.243 | max_load: 0.092 | aux: 0.0093 | remaining: 4842s    
step 00075 (0.5%) | loss: 5.813447 | lrm: 0.75 | dt: 345ms | tok/sec: 760,750 | mfu: 23.5% | epoch: 1 | router_ent: 2.221 | load_cv: 0.242 | max_load: 0.092 | aux: 0.0092 | remaining: 4842s    
step 00076 (0.5%) | loss: 5.791006 | lrm: 0.76 | dt: 345ms | tok/sec: 758,956 | mfu: 23.4% | epoch: 1 | router_ent: 2.221 | load_cv: 0.242 | max_load: 0.092 | aux: 0.0092 | remaining: 4841s    
step 00077 (0.5%) | loss: 5.770414 | lrm: 0.77 | dt: 347ms | tok/sec: 755,552 | mfu: 23.3% | epoch: 1 | router_ent: 2.222 | load_cv: 0.243 | max_load: 0.091 | aux: 0.0091 | remaining: 4841s    
step 00078 (0.6%) | loss: 5.751998 | lrm: 0.78 | dt: 345ms | tok/sec: 759,476 | mfu: 23.4% | epoch: 1 | router_ent: 2.220 | load_cv: 0.244 | max_load: 0.091 | aux: 0.0090 | remaining: 4841s    
step 00079 (0.6%) | loss: 5.731408 | lrm: 0.79 | dt: 347ms | tok/sec: 755,037 | mfu: 23.3% | epoch: 1 | router_ent: 2.221 | load_cv: 0.246 | max_load: 0.091 | aux: 0.0089 | remaining: 4841s    
step 00080 (0.6%) | loss: 5.712936 | lrm: 0.80 | dt: 345ms | tok/sec: 760,047 | mfu: 23.5% | epoch: 1 | router_ent: 2.224 | load_cv: 0.245 | max_load: 0.091 | aux: 0.0089 | remaining: 4841s    
