W0610 13:28:43.015000 2076278 site-packages/torch/distributed/run.py:803] 
W0610 13:28:43.015000 2076278 site-packages/torch/distributed/run.py:803] *****************************************
W0610 13:28:43.015000 2076278 site-packages/torch/distributed/run.py:803] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0610 13:28:43.015000 2076278 site-packages/torch/distributed/run.py:803] *****************************************
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Vocab size: 8,192
Distributed: world_size=4, rank=0, local_rank=0
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 8, 'n_kv_head': 2, 'n_embd': 1024, 'window_pattern': 'SSSL', 'num_experts': 16, 'top_k': 2, 'moe_hidden_dim': 2304, 'router_z_loss_coef': 0.00075, 'load_balance_loss_coef': 0.003, 'router_sigmoid_affinity': True, 'router_expert_bias': True, 'router_bias_ema_beta': 0.9, 'router_bias_eta': 0.001, 'router_bias_clamp': 0.25, 'exclusive_attention': True, 'headwise_attention_gate': True, 'attention_gate_init': 0.98, 'attention_gate_scale': 1.0, 'value_mix_enabled': True, 'value_mix_learned': False, 'value_mix_start_layer': 1, 'value_mix_normalized': False, 'value_mix_first_init': 0.75, 'value_mix_local_init': 0.25, 'value_mix_gamma_init': 0.7905694150420949, 'dense_early_layers': 2, 'dense_hidden_dim': 4608}
Parameter counts:
  wte                     : 8,388,608
  lm_head                 : 8,388,608
  transformer_matrices    : 960,708,608
  expert_total            : 905,969,664
  expert_active           : 113,246,208
  scalars                 : 90
  total                   : 977,485,914
  active                  : 184,762,458
Estimated active FLOPs per token: 1.221820e+09
AdamW peak lr: 0.000333
Muon peak lr (attn_q): 0.0021312
Muon peak lr (attn_k): 0.0021312
Muon peak lr (attn_v): 0.0021312
Muon peak lr (attn_proj): 0.0021312
Muon peak lr (router): 0.0021312
Muon peak lr (expert_gate): 0.0031968
Muon peak lr (expert_up): 0.0031968
Muon peak lr (expert_down): 0.0031968
Muon peak lr (dense_gate): 0.00452096
Muon peak lr (dense_up): 0.00452096
Muon peak lr (dense_down): 0.00452096
Time budget: 450s
Estimated total steps for LR schedule: 14099
Max train steps: 14099
Global batch tokens: 262,144
Device batch size: 32
Gradient accumulation steps: 1
Eval batch size: 64

step 00000 (0.0%) | loss: 9.502862 | lrm: 0.00 | dt: 8563ms | tok/sec: 30,612 | mfu: 0.9% | epoch: 1 | router_ent: 2.363 | load_cv: 0.204 | max_load: 0.091 | aux: 0.0087 | remaining: 120724s    
step 00001 (0.0%) | loss: 9.501433 | lrm: 0.01 | dt: 307ms | tok/sec: 854,585 | mfu: 26.4% | epoch: 1 | router_ent: 2.363 | load_cv: 0.200 | max_load: 0.090 | aux: 0.0087 | remaining: 4324s    
step 00002 (0.0%) | loss: 9.501397 | lrm: 0.02 | dt: 305ms | tok/sec: 859,002 | mfu: 26.5% | epoch: 1 | router_ent: 2.364 | load_cv: 0.199 | max_load: 0.091 | aux: 0.0087 | remaining: 4302s    
step 00003 (0.0%) | loss: 9.500722 | lrm: 0.03 | dt: 308ms | tok/sec: 851,165 | mfu: 26.3% | epoch: 1 | router_ent: 2.364 | load_cv: 0.201 | max_load: 0.090 | aux: 0.0087 | remaining: 4341s    
step 00004 (0.0%) | loss: 9.499707 | lrm: 0.04 | dt: 324ms | tok/sec: 807,840 | mfu: 24.9% | epoch: 1 | router_ent: 2.364 | load_cv: 0.201 | max_load: 0.091 | aux: 0.0087 | remaining: 4573s    
step 00005 (0.0%) | loss: 9.498067 | lrm: 0.05 | dt: 308ms | tok/sec: 850,870 | mfu: 26.3% | epoch: 1 | router_ent: 2.364 | load_cv: 0.201 | max_load: 0.091 | aux: 0.0087 | remaining: 4342s    
step 00006 (0.0%) | loss: 9.495869 | lrm: 0.06 | dt: 311ms | tok/sec: 842,687 | mfu: 26.0% | epoch: 1 | router_ent: 2.364 | load_cv: 0.201 | max_load: 0.090 | aux: 0.0087 | remaining: 4384s    
step 00007 (0.0%) | loss: 9.493880 | lrm: 0.07 | dt: 316ms | tok/sec: 829,645 | mfu: 25.6% | epoch: 1 | router_ent: 2.364 | load_cv: 0.196 | max_load: 0.090 | aux: 0.0087 | remaining: 4452s    
step 00008 (0.1%) | loss: 9.490458 | lrm: 0.08 | dt: 313ms | tok/sec: 837,035 | mfu: 25.8% | epoch: 1 | router_ent: 2.364 | load_cv: 0.195 | max_load: 0.090 | aux: 0.0087 | remaining: 4413s    
step 00009 (0.1%) | loss: 9.487821 | lrm: 0.09 | dt: 311ms | tok/sec: 843,833 | mfu: 26.0% | epoch: 1 | router_ent: 2.364 | load_cv: 0.197 | max_load: 0.090 | aux: 0.0087 | remaining: 4377s    
step 00010 (0.1%) | loss: 9.483782 | lrm: 0.10 | dt: 314ms | tok/sec: 834,092 | mfu: 25.7% | epoch: 1 | router_ent: 2.364 | load_cv: 0.195 | max_load: 0.090 | aux: 0.0087 | remaining: 4428s    
step 00011 (0.1%) | loss: 9.479050 | lrm: 0.11 | dt: 316ms | tok/sec: 829,323 | mfu: 25.6% | epoch: 1 | router_ent: 2.364 | load_cv: 0.193 | max_load: 0.089 | aux: 0.0087 | remaining: 4453s    
step 00012 (0.1%) | loss: 9.473466 | lrm: 0.12 | dt: 312ms | tok/sec: 841,397 | mfu: 26.0% | epoch: 1 | router_ent: 2.364 | load_cv: 0.189 | max_load: 0.089 | aux: 0.0087 | remaining: 4421s    
step 00013 (0.1%) | loss: 9.466452 | lrm: 0.13 | dt: 311ms | tok/sec: 844,003 | mfu: 26.1% | epoch: 1 | router_ent: 2.364 | load_cv: 0.197 | max_load: 0.090 | aux: 0.0087 | remaining: 4405s    
step 00014 (0.1%) | loss: 9.459101 | lrm: 0.14 | dt: 314ms | tok/sec: 833,943 | mfu: 25.7% | epoch: 1 | router_ent: 2.364 | load_cv: 0.192 | max_load: 0.090 | aux: 0.0087 | remaining: 4410s    
step 00015 (0.1%) | loss: 9.450376 | lrm: 0.15 | dt: 311ms | tok/sec: 842,342 | mfu: 26.0% | epoch: 1 | router_ent: 2.364 | load_cv: 0.192 | max_load: 0.090 | aux: 0.0087 | remaining: 4405s    
step 00016 (0.1%) | loss: 9.440927 | lrm: 0.16 | dt: 309ms | tok/sec: 847,390 | mfu: 26.2% | epoch: 1 | router_ent: 2.364 | load_cv: 0.190 | max_load: 0.089 | aux: 0.0087 | remaining: 4396s    
step 00017 (0.1%) | loss: 9.430944 | lrm: 0.17 | dt: 316ms | tok/sec: 830,116 | mfu: 25.6% | epoch: 1 | router_ent: 2.364 | load_cv: 0.190 | max_load: 0.090 | aux: 0.0087 | remaining: 4403s    
step 00018 (0.1%) | loss: 9.419744 | lrm: 0.18 | dt: 316ms | tok/sec: 828,871 | mfu: 25.6% | epoch: 1 | router_ent: 2.364 | load_cv: 0.191 | max_load: 0.090 | aux: 0.0087 | remaining: 4409s    
step 00019 (0.1%) | loss: 9.407351 | lrm: 0.19 | dt: 311ms | tok/sec: 843,308 | mfu: 26.0% | epoch: 1 | router_ent: 2.364 | load_cv: 0.190 | max_load: 0.090 | aux: 0.0087 | remaining: 4405s    
step 00020 (0.1%) | loss: 9.393627 | lrm: 0.20 | dt: 311ms | tok/sec: 843,525 | mfu: 26.0% | epoch: 1 | router_ent: 2.364 | load_cv: 0.189 | max_load: 0.089 | aux: 0.0087 | remaining: 4402s    
step 00021 (0.1%) | loss: 9.378570 | lrm: 0.21 | dt: 316ms | tok/sec: 830,485 | mfu: 25.6% | epoch: 1 | router_ent: 2.364 | load_cv: 0.189 | max_load: 0.089 | aux: 0.0087 | remaining: 4405s    
step 00022 (0.2%) | loss: 9.361744 | lrm: 0.22 | dt: 313ms | tok/sec: 838,699 | mfu: 25.9% | epoch: 1 | router_ent: 2.363 | load_cv: 0.191 | max_load: 0.090 | aux: 0.0087 | remaining: 4405s    
step 00023 (0.2%) | loss: 9.343446 | lrm: 0.23 | dt: 310ms | tok/sec: 844,900 | mfu: 26.1% | epoch: 1 | router_ent: 2.363 | load_cv: 0.192 | max_load: 0.089 | aux: 0.0087 | remaining: 4401s    
step 00024 (0.2%) | loss: 9.324502 | lrm: 0.24 | dt: 312ms | tok/sec: 841,033 | mfu: 26.0% | epoch: 1 | router_ent: 2.363 | load_cv: 0.192 | max_load: 0.090 | aux: 0.0087 | remaining: 4400s    
step 00025 (0.2%) | loss: 9.302397 | lrm: 0.25 | dt: 315ms | tok/sec: 831,637 | mfu: 25.7% | epoch: 1 | router_ent: 2.363 | load_cv: 0.193 | max_load: 0.090 | aux: 0.0087 | remaining: 4402s    
step 00026 (0.2%) | loss: 9.279336 | lrm: 0.26 | dt: 314ms | tok/sec: 835,730 | mfu: 25.8% | epoch: 1 | router_ent: 2.363 | load_cv: 0.199 | max_load: 0.091 | aux: 0.0087 | remaining: 4403s    
step 00027 (0.2%) | loss: 9.255179 | lrm: 0.27 | dt: 312ms | tok/sec: 841,291 | mfu: 26.0% | epoch: 1 | router_ent: 2.363 | load_cv: 0.191 | max_load: 0.089 | aux: 0.0087 | remaining: 4401s    
step 00028 (0.2%) | loss: 9.229118 | lrm: 0.28 | dt: 312ms | tok/sec: 840,293 | mfu: 25.9% | epoch: 1 | router_ent: 2.363 | load_cv: 0.199 | max_load: 0.090 | aux: 0.0087 | remaining: 4400s    
step 00029 (0.2%) | loss: 9.201084 | lrm: 0.29 | dt: 312ms | tok/sec: 840,104 | mfu: 25.9% | epoch: 1 | router_ent: 2.363 | load_cv: 0.198 | max_load: 0.090 | aux: 0.0087 | remaining: 4400s    
step 00030 (0.2%) | loss: 9.171520 | lrm: 0.30 | dt: 312ms | tok/sec: 841,537 | mfu: 26.0% | epoch: 1 | router_ent: 2.362 | load_cv: 0.199 | max_load: 0.091 | aux: 0.0087 | remaining: 4398s    
step 00031 (0.2%) | loss: 9.141159 | lrm: 0.31 | dt: 313ms | tok/sec: 837,427 | mfu: 25.9% | epoch: 1 | router_ent: 2.362 | load_cv: 0.202 | max_load: 0.090 | aux: 0.0087 | remaining: 4398s    
step 00032 (0.2%) | loss: 9.108093 | lrm: 0.32 | dt: 310ms | tok/sec: 844,511 | mfu: 26.1% | epoch: 1 | router_ent: 2.361 | load_cv: 0.203 | max_load: 0.090 | aux: 0.0087 | remaining: 4397s    
step 00033 (0.2%) | loss: 9.071636 | lrm: 0.33 | dt: 315ms | tok/sec: 833,304 | mfu: 25.7% | epoch: 1 | router_ent: 2.361 | load_cv: 0.214 | max_load: 0.091 | aux: 0.0087 | remaining: 4397s    
step 00034 (0.2%) | loss: 9.035288 | lrm: 0.34 | dt: 314ms | tok/sec: 835,953 | mfu: 25.8% | epoch: 1 | router_ent: 2.360 | load_cv: 0.215 | max_load: 0.091 | aux: 0.0087 | remaining: 4398s    
step 00035 (0.2%) | loss: 8.996653 | lrm: 0.35 | dt: 312ms | tok/sec: 839,169 | mfu: 25.9% | epoch: 1 | router_ent: 2.360 | load_cv: 0.219 | max_load: 0.092 | aux: 0.0087 | remaining: 4397s    
step 00036 (0.3%) | loss: 8.956297 | lrm: 0.36 | dt: 310ms | tok/sec: 844,281 | mfu: 26.1% | epoch: 1 | router_ent: 2.359 | load_cv: 0.222 | max_load: 0.092 | aux: 0.0087 | remaining: 4396s    
step 00037 (0.3%) | loss: 8.913811 | lrm: 0.37 | dt: 314ms | tok/sec: 833,543 | mfu: 25.7% | epoch: 1 | router_ent: 2.359 | load_cv: 0.227 | max_load: 0.092 | aux: 0.0087 | remaining: 4396s    
step 00038 (0.3%) | loss: 8.869925 | lrm: 0.38 | dt: 318ms | tok/sec: 825,323 | mfu: 25.5% | epoch: 1 | router_ent: 2.358 | load_cv: 0.233 | max_load: 0.093 | aux: 0.0087 | remaining: 4399s    
step 00039 (0.3%) | loss: 8.823378 | lrm: 0.39 | dt: 316ms | tok/sec: 828,704 | mfu: 25.6% | epoch: 1 | router_ent: 2.357 | load_cv: 0.236 | max_load: 0.093 | aux: 0.0087 | remaining: 4400s    
step 00040 (0.3%) | loss: 8.774806 | lrm: 0.40 | dt: 314ms | tok/sec: 834,252 | mfu: 25.8% | epoch: 1 | router_ent: 2.357 | load_cv: 0.247 | max_load: 0.094 | aux: 0.0087 | remaining: 4400s    
step 00041 (0.3%) | loss: 8.724275 | lrm: 0.41 | dt: 314ms | tok/sec: 835,952 | mfu: 25.8% | epoch: 1 | router_ent: 2.356 | load_cv: 0.252 | max_load: 0.094 | aux: 0.0087 | remaining: 4400s    
step 00042 (0.3%) | loss: 8.672116 | lrm: 0.42 | dt: 312ms | tok/sec: 839,042 | mfu: 25.9% | epoch: 1 | router_ent: 2.355 | load_cv: 0.261 | max_load: 0.095 | aux: 0.0087 | remaining: 4400s    
step 00043 (0.3%) | loss: 8.618020 | lrm: 0.43 | dt: 317ms | tok/sec: 826,709 | mfu: 25.5% | epoch: 1 | router_ent: 2.355 | load_cv: 0.266 | max_load: 0.095 | aux: 0.0087 | remaining: 4401s    
step 00044 (0.3%) | loss: 8.562753 | lrm: 0.44 | dt: 314ms | tok/sec: 833,669 | mfu: 25.7% | epoch: 1 | router_ent: 2.354 | load_cv: 0.277 | max_load: 0.097 | aux: 0.0087 | remaining: 4401s    
step 00045 (0.3%) | loss: 8.501163 | lrm: 0.45 | dt: 314ms | tok/sec: 833,720 | mfu: 25.7% | epoch: 1 | router_ent: 2.353 | load_cv: 0.294 | max_load: 0.099 | aux: 0.0087 | remaining: 4401s    
step 00046 (0.3%) | loss: 8.439399 | lrm: 0.46 | dt: 315ms | tok/sec: 831,841 | mfu: 25.7% | epoch: 1 | router_ent: 2.353 | load_cv: 0.300 | max_load: 0.100 | aux: 0.0087 | remaining: 4402s    
step 00047 (0.3%) | loss: 8.378228 | lrm: 0.47 | dt: 313ms | tok/sec: 836,392 | mfu: 25.8% | epoch: 1 | router_ent: 2.352 | load_cv: 0.311 | max_load: 0.100 | aux: 0.0087 | remaining: 4402s    
step 00048 (0.3%) | loss: 8.314543 | lrm: 0.48 | dt: 312ms | tok/sec: 841,379 | mfu: 26.0% | epoch: 1 | router_ent: 2.352 | load_cv: 0.319 | max_load: 0.102 | aux: 0.0087 | remaining: 4401s    
step 00049 (0.3%) | loss: 8.250225 | lrm: 0.49 | dt: 315ms | tok/sec: 831,895 | mfu: 25.7% | epoch: 1 | router_ent: 2.351 | load_cv: 0.328 | max_load: 0.102 | aux: 0.0087 | remaining: 4401s    
step 00050 (0.4%) | loss: 8.184412 | lrm: 0.50 | dt: 316ms | tok/sec: 828,821 | mfu: 25.6% | epoch: 1 | router_ent: 2.350 | load_cv: 0.338 | max_load: 0.103 | aux: 0.0087 | remaining: 4402s    
step 00051 (0.4%) | loss: 8.116774 | lrm: 0.51 | dt: 315ms | tok/sec: 831,869 | mfu: 25.7% | epoch: 1 | router_ent: 2.350 | load_cv: 0.351 | max_load: 0.106 | aux: 0.0087 | remaining: 4402s    
step 00052 (0.4%) | loss: 8.048909 | lrm: 0.52 | dt: 316ms | tok/sec: 829,786 | mfu: 25.6% | epoch: 1 | router_ent: 2.349 | load_cv: 0.358 | max_load: 0.106 | aux: 0.0087 | remaining: 4403s    
step 00053 (0.4%) | loss: 7.977664 | lrm: 0.53 | dt: 316ms | tok/sec: 830,879 | mfu: 25.6% | epoch: 1 | router_ent: 2.348 | load_cv: 0.371 | max_load: 0.107 | aux: 0.0087 | remaining: 4403s    
step 00054 (0.4%) | loss: 7.906976 | lrm: 0.54 | dt: 313ms | tok/sec: 836,609 | mfu: 25.8% | epoch: 1 | router_ent: 2.348 | load_cv: 0.383 | max_load: 0.110 | aux: 0.0086 | remaining: 4403s    
step 00055 (0.4%) | loss: 7.835873 | lrm: 0.55 | dt: 314ms | tok/sec: 835,746 | mfu: 25.8% | epoch: 1 | router_ent: 2.348 | load_cv: 0.392 | max_load: 0.110 | aux: 0.0086 | remaining: 4402s    
step 00056 (0.4%) | loss: 7.765143 | lrm: 0.56 | dt: 316ms | tok/sec: 829,411 | mfu: 25.6% | epoch: 1 | router_ent: 2.347 | load_cv: 0.401 | max_load: 0.112 | aux: 0.0086 | remaining: 4403s    
step 00057 (0.4%) | loss: 7.692854 | lrm: 0.57 | dt: 317ms | tok/sec: 826,218 | mfu: 25.5% | epoch: 1 | router_ent: 2.346 | load_cv: 0.414 | max_load: 0.114 | aux: 0.0086 | remaining: 4404s    
step 00058 (0.4%) | loss: 7.622072 | lrm: 0.58 | dt: 319ms | tok/sec: 822,846 | mfu: 25.4% | epoch: 1 | router_ent: 2.347 | load_cv: 0.422 | max_load: 0.115 | aux: 0.0086 | remaining: 4405s    
step 00059 (0.4%) | loss: 7.549511 | lrm: 0.59 | dt: 317ms | tok/sec: 826,888 | mfu: 25.5% | epoch: 1 | router_ent: 2.346 | load_cv: 0.430 | max_load: 0.116 | aux: 0.0086 | remaining: 4405s    
step 00060 (0.4%) | loss: 7.478860 | lrm: 0.60 | dt: 316ms | tok/sec: 829,241 | mfu: 25.6% | epoch: 1 | router_ent: 2.346 | load_cv: 0.444 | max_load: 0.118 | aux: 0.0086 | remaining: 4406s    
step 00061 (0.4%) | loss: 7.411757 | lrm: 0.61 | dt: 318ms | tok/sec: 825,212 | mfu: 25.5% | epoch: 1 | router_ent: 2.345 | load_cv: 0.447 | max_load: 0.119 | aux: 0.0086 | remaining: 4407s    
step 00062 (0.4%) | loss: 7.345666 | lrm: 0.62 | dt: 317ms | tok/sec: 827,165 | mfu: 25.5% | epoch: 1 | router_ent: 2.345 | load_cv: 0.456 | max_load: 0.121 | aux: 0.0086 | remaining: 4407s    
step 00063 (0.4%) | loss: 7.284421 | lrm: 0.63 | dt: 314ms | tok/sec: 834,704 | mfu: 25.8% | epoch: 1 | router_ent: 2.346 | load_cv: 0.459 | max_load: 0.122 | aux: 0.0085 | remaining: 4407s    
step 00064 (0.5%) | loss: 7.222345 | lrm: 0.64 | dt: 316ms | tok/sec: 829,542 | mfu: 25.6% | epoch: 1 | router_ent: 2.345 | load_cv: 0.465 | max_load: 0.123 | aux: 0.0085 | remaining: 4407s    
step 00065 (0.5%) | loss: 7.162661 | lrm: 0.65 | dt: 315ms | tok/sec: 831,851 | mfu: 25.7% | epoch: 1 | router_ent: 2.344 | load_cv: 0.467 | max_load: 0.123 | aux: 0.0085 | remaining: 4407s    
step 00066 (0.5%) | loss: 7.107884 | lrm: 0.66 | dt: 319ms | tok/sec: 822,755 | mfu: 25.4% | epoch: 1 | router_ent: 2.344 | load_cv: 0.468 | max_load: 0.123 | aux: 0.0085 | remaining: 4408s    
step 00067 (0.5%) | loss: 7.055932 | lrm: 0.67 | dt: 315ms | tok/sec: 832,704 | mfu: 25.7% | epoch: 1 | router_ent: 2.344 | load_cv: 0.467 | max_load: 0.124 | aux: 0.0085 | remaining: 4408s    
step 00068 (0.5%) | loss: 7.003999 | lrm: 0.68 | dt: 315ms | tok/sec: 831,679 | mfu: 25.7% | epoch: 1 | router_ent: 2.342 | load_cv: 0.468 | max_load: 0.123 | aux: 0.0084 | remaining: 4408s    
step 00069 (0.5%) | loss: 6.952695 | lrm: 0.69 | dt: 316ms | tok/sec: 829,915 | mfu: 25.6% | epoch: 1 | router_ent: 2.341 | load_cv: 0.465 | max_load: 0.123 | aux: 0.0084 | remaining: 4408s    
step 00070 (0.5%) | loss: 6.904023 | lrm: 0.70 | dt: 319ms | tok/sec: 822,566 | mfu: 25.4% | epoch: 1 | router_ent: 2.340 | load_cv: 0.459 | max_load: 0.121 | aux: 0.0084 | remaining: 4408s    
step 00071 (0.5%) | loss: 6.859727 | lrm: 0.71 | dt: 314ms | tok/sec: 833,669 | mfu: 25.7% | epoch: 1 | router_ent: 2.338 | load_cv: 0.450 | max_load: 0.120 | aux: 0.0084 | remaining: 4408s    
step 00072 (0.5%) | loss: 6.815263 | lrm: 0.72 | dt: 316ms | tok/sec: 829,096 | mfu: 25.6% | epoch: 1 | router_ent: 2.337 | load_cv: 0.443 | max_load: 0.118 | aux: 0.0084 | remaining: 4408s    
step 00073 (0.5%) | loss: 6.772954 | lrm: 0.73 | dt: 317ms | tok/sec: 827,436 | mfu: 25.5% | epoch: 1 | router_ent: 2.336 | load_cv: 0.435 | max_load: 0.117 | aux: 0.0083 | remaining: 4408s    
step 00074 (0.5%) | loss: 6.731691 | lrm: 0.74 | dt: 313ms | tok/sec: 837,175 | mfu: 25.8% | epoch: 1 | router_ent: 2.333 | load_cv: 0.424 | max_load: 0.114 | aux: 0.0083 | remaining: 4408s    
step 00075 (0.5%) | loss: 6.690269 | lrm: 0.75 | dt: 314ms | tok/sec: 833,747 | mfu: 25.7% | epoch: 1 | router_ent: 2.329 | load_cv: 0.418 | max_load: 0.114 | aux: 0.0083 | remaining: 4408s    
step 00076 (0.5%) | loss: 6.651751 | lrm: 0.76 | dt: 318ms | tok/sec: 825,650 | mfu: 25.5% | epoch: 1 | router_ent: 2.328 | load_cv: 0.406 | max_load: 0.112 | aux: 0.0083 | remaining: 4408s    
step 00077 (0.5%) | loss: 6.614530 | lrm: 0.77 | dt: 317ms | tok/sec: 827,314 | mfu: 25.5% | epoch: 1 | router_ent: 2.324 | load_cv: 0.392 | max_load: 0.110 | aux: 0.0083 | remaining: 4408s    
step 00078 (0.6%) | loss: 6.578980 | lrm: 0.78 | dt: 315ms | tok/sec: 832,538 | mfu: 25.7% | epoch: 1 | router_ent: 2.322 | load_cv: 0.386 | max_load: 0.109 | aux: 0.0083 | remaining: 4408s    
step 00079 (0.6%) | loss: 6.542985 | lrm: 0.79 | dt: 316ms | tok/sec: 830,329 | mfu: 25.6% | epoch: 1 | router_ent: 2.318 | load_cv: 0.375 | max_load: 0.109 | aux: 0.0082 | remaining: 4408s    
step 00080 (0.6%) | loss: 6.509146 | lrm: 0.80 | dt: 316ms | tok/sec: 829,519 | mfu: 25.6% | epoch: 1 | router_ent: 2.315 | load_cv: 0.364 | max_load: 0.107 | aux: 0.0082 | remaining: 4408s    
step 00081 (0.6%) | loss: 6.472864 | lrm: 0.81 | dt: 315ms | tok/sec: 832,710 | mfu: 25.7% | epoch: 1 | router_ent: 2.311 | load_cv: 0.355 | max_load: 0.106 | aux: 0.0082 | remaining: 4408s    
step 00082 (0.6%) | loss: 6.435705 | lrm: 0.82 | dt: 314ms | tok/sec: 835,469 | mfu: 25.8% | epoch: 1 | router_ent: 2.307 | load_cv: 0.350 | max_load: 0.106 | aux: 0.0082 | remaining: 4407s    
step 00083 (0.6%) | loss: 6.403373 | lrm: 0.83 | dt: 317ms | tok/sec: 828,007 | mfu: 25.6% | epoch: 1 | router_ent: 2.305 | load_cv: 0.336 | max_load: 0.104 | aux: 0.0082 | remaining: 4407s    
step 00084 (0.6%) | loss: 6.368566 | lrm: 0.84 | dt: 317ms | tok/sec: 827,002 | mfu: 25.5% | epoch: 1 | router_ent: 2.301 | load_cv: 0.328 | max_load: 0.103 | aux: 0.0082 | remaining: 4407s    
step 00085 (0.6%) | loss: 6.338859 | lrm: 0.85 | dt: 313ms | tok/sec: 836,467 | mfu: 25.8% | epoch: 1 | router_ent: 2.299 | load_cv: 0.320 | max_load: 0.102 | aux: 0.0081 | remaining: 4407s    
step 00086 (0.6%) | loss: 6.306158 | lrm: 0.86 | dt: 315ms | tok/sec: 833,079 | mfu: 25.7% | epoch: 1 | router_ent: 2.295 | load_cv: 0.316 | max_load: 0.102 | aux: 0.0081 | remaining: 4407s    
step 00087 (0.6%) | loss: 6.276383 | lrm: 0.87 | dt: 316ms | tok/sec: 829,477 | mfu: 25.6% | epoch: 1 | router_ent: 2.291 | load_cv: 0.312 | max_load: 0.102 | aux: 0.0081 | remaining: 4407s    
step 00088 (0.6%) | loss: 6.249507 | lrm: 0.88 | dt: 314ms | tok/sec: 834,723 | mfu: 25.8% | epoch: 1 | router_ent: 2.290 | load_cv: 0.304 | max_load: 0.101 | aux: 0.0081 | remaining: 4406s    
step 00089 (0.6%) | loss: 6.220207 | lrm: 0.89 | dt: 316ms | tok/sec: 828,536 | mfu: 25.6% | epoch: 1 | router_ent: 2.287 | load_cv: 0.304 | max_load: 0.100 | aux: 0.0081 | remaining: 4406s    
