W0610 12:12:10.601000 1686301 site-packages/torch/distributed/run.py:803] 
W0610 12:12:10.601000 1686301 site-packages/torch/distributed/run.py:803] *****************************************
W0610 12:12:10.601000 1686301 site-packages/torch/distributed/run.py:803] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0610 12:12:10.601000 1686301 site-packages/torch/distributed/run.py:803] *****************************************
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Vocab size: 8,192
Distributed: world_size=4, rank=0, local_rank=0
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 8, 'n_kv_head': 2, 'n_embd': 1024, 'window_pattern': 'SSSL', 'num_experts': 16, 'top_k': 2, 'moe_hidden_dim': 2304, 'router_z_loss_coef': 0.00075, 'load_balance_loss_coef': 0.003, 'router_sigmoid_affinity': True, 'router_expert_bias': True, 'router_bias_ema_beta': 0.9, 'router_bias_eta': 0.001, 'router_bias_clamp': 0.25, 'exclusive_attention': True, 'headwise_attention_gate': True, 'attention_gate_init': 0.98, 'attention_gate_scale': 1.0, 'value_mix_enabled': True, 'value_mix_learned': False, 'value_mix_start_layer': 1, 'value_mix_normalized': False, 'value_mix_first_init': 0.75, 'value_mix_local_init': 0.25, 'value_mix_gamma_init': 0.7905694150420949, 'dense_early_layers': 2, 'dense_hidden_dim': 4608}
Parameter counts:
  wte                     : 8,388,608
  lm_head                 : 8,388,608
  transformer_matrices    : 960,708,608
  expert_total            : 905,969,664
  expert_active           : 113,246,208
  scalars                 : 90
  total                   : 977,485,914
  active                  : 184,762,458
Estimated active FLOPs per token: 1.221820e+09
AdamW peak lr: 0.001
Muon peak lr (attn_q): 0.0064
Muon peak lr (attn_k): 0.0064
Muon peak lr (attn_v): 0.0064
Muon peak lr (attn_proj): 0.0064
Muon peak lr (router): 0.0064
Muon peak lr (expert_gate): 0.0096
Muon peak lr (expert_up): 0.0096
Muon peak lr (expert_down): 0.0096
Muon peak lr (dense_gate): 0.0135765
Muon peak lr (dense_up): 0.0135765
Muon peak lr (dense_down): 0.0135765
Time budget: 450s
Estimated total steps for LR schedule: 14099
Max train steps: 14099
Global batch tokens: 262,144
Device batch size: 32
Gradient accumulation steps: 1
Eval batch size: 64

step 00000 (0.0%) | loss: 9.502862 | lrm: 0.00 | dt: 8903ms | tok/sec: 29,443 | mfu: 0.9% | epoch: 1 | router_ent: 2.363 | load_cv: 0.204 | max_load: 0.091 | aux: 0.0087 | remaining: 125518s    
step 00001 (0.0%) | loss: 9.501433 | lrm: 0.01 | dt: 369ms | tok/sec: 709,823 | mfu: 21.9% | epoch: 1 | router_ent: 2.363 | load_cv: 0.200 | max_load: 0.090 | aux: 0.0087 | remaining: 5206s    
step 00002 (0.0%) | loss: 9.500811 | lrm: 0.02 | dt: 306ms | tok/sec: 855,293 | mfu: 26.4% | epoch: 1 | router_ent: 2.364 | load_cv: 0.199 | max_load: 0.091 | aux: 0.0087 | remaining: 4320s    
step 00003 (0.0%) | loss: 9.498734 | lrm: 0.03 | dt: 315ms | tok/sec: 831,682 | mfu: 25.7% | epoch: 1 | router_ent: 2.364 | load_cv: 0.202 | max_load: 0.090 | aux: 0.0087 | remaining: 4443s    
step 00004 (0.0%) | loss: 9.495354 | lrm: 0.04 | dt: 319ms | tok/sec: 822,774 | mfu: 25.4% | epoch: 1 | router_ent: 2.364 | load_cv: 0.201 | max_load: 0.091 | aux: 0.0087 | remaining: 4490s    
step 00005 (0.0%) | loss: 9.489733 | lrm: 0.05 | dt: 310ms | tok/sec: 845,804 | mfu: 26.1% | epoch: 1 | router_ent: 2.364 | load_cv: 0.202 | max_load: 0.091 | aux: 0.0087 | remaining: 4368s    
step 00006 (0.0%) | loss: 9.482323 | lrm: 0.06 | dt: 311ms | tok/sec: 843,305 | mfu: 26.0% | epoch: 1 | router_ent: 2.364 | load_cv: 0.202 | max_load: 0.091 | aux: 0.0087 | remaining: 4381s    
step 00007 (0.0%) | loss: 9.473551 | lrm: 0.07 | dt: 324ms | tok/sec: 810,217 | mfu: 25.0% | epoch: 1 | router_ent: 2.364 | load_cv: 0.198 | max_load: 0.091 | aux: 0.0087 | remaining: 4559s    
step 00008 (0.1%) | loss: 9.461028 | lrm: 0.08 | dt: 310ms | tok/sec: 845,056 | mfu: 26.1% | epoch: 1 | router_ent: 2.364 | load_cv: 0.198 | max_load: 0.090 | aux: 0.0087 | remaining: 4371s    
step 00009 (0.1%) | loss: 9.446640 | lrm: 0.09 | dt: 312ms | tok/sec: 840,038 | mfu: 25.9% | epoch: 1 | router_ent: 2.364 | load_cv: 0.202 | max_load: 0.091 | aux: 0.0087 | remaining: 4397s    
step 00010 (0.1%) | loss: 9.428054 | lrm: 0.10 | dt: 315ms | tok/sec: 833,152 | mfu: 25.7% | epoch: 1 | router_ent: 2.364 | load_cv: 0.201 | max_load: 0.091 | aux: 0.0087 | remaining: 4433s    
step 00011 (0.1%) | loss: 9.406597 | lrm: 0.11 | dt: 311ms | tok/sec: 843,049 | mfu: 26.0% | epoch: 1 | router_ent: 2.363 | load_cv: 0.202 | max_load: 0.091 | aux: 0.0087 | remaining: 4380s    
step 00012 (0.1%) | loss: 9.381695 | lrm: 0.12 | dt: 317ms | tok/sec: 826,528 | mfu: 25.5% | epoch: 1 | router_ent: 2.364 | load_cv: 0.201 | max_load: 0.091 | aux: 0.0087 | remaining: 4424s    
step 00013 (0.1%) | loss: 9.352229 | lrm: 0.13 | dt: 312ms | tok/sec: 839,575 | mfu: 25.9% | epoch: 1 | router_ent: 2.364 | load_cv: 0.211 | max_load: 0.093 | aux: 0.0087 | remaining: 4415s    
step 00014 (0.1%) | loss: 9.318650 | lrm: 0.14 | dt: 314ms | tok/sec: 835,629 | mfu: 25.8% | epoch: 1 | router_ent: 2.363 | load_cv: 0.211 | max_load: 0.092 | aux: 0.0087 | remaining: 4416s    
step 00015 (0.1%) | loss: 9.279841 | lrm: 0.15 | dt: 312ms | tok/sec: 839,617 | mfu: 25.9% | epoch: 1 | router_ent: 2.363 | load_cv: 0.216 | max_load: 0.093 | aux: 0.0087 | remaining: 4412s    
step 00016 (0.1%) | loss: 9.236230 | lrm: 0.16 | dt: 313ms | tok/sec: 838,663 | mfu: 25.9% | epoch: 1 | router_ent: 2.362 | load_cv: 0.220 | max_load: 0.093 | aux: 0.0087 | remaining: 4410s    
step 00017 (0.1%) | loss: 9.189052 | lrm: 0.17 | dt: 311ms | tok/sec: 843,445 | mfu: 26.0% | epoch: 1 | router_ent: 2.362 | load_cv: 0.226 | max_load: 0.094 | aux: 0.0087 | remaining: 4405s    
step 00018 (0.1%) | loss: 9.136981 | lrm: 0.18 | dt: 314ms | tok/sec: 834,568 | mfu: 25.8% | epoch: 1 | router_ent: 2.361 | load_cv: 0.233 | max_load: 0.094 | aux: 0.0087 | remaining: 4407s    
step 00019 (0.1%) | loss: 9.079517 | lrm: 0.19 | dt: 314ms | tok/sec: 834,622 | mfu: 25.8% | epoch: 1 | router_ent: 2.360 | load_cv: 0.242 | max_load: 0.095 | aux: 0.0087 | remaining: 4408s    
step 00020 (0.1%) | loss: 9.017408 | lrm: 0.20 | dt: 312ms | tok/sec: 840,681 | mfu: 26.0% | epoch: 1 | router_ent: 2.359 | load_cv: 0.250 | max_load: 0.095 | aux: 0.0087 | remaining: 4406s    
step 00021 (0.1%) | loss: 8.951033 | lrm: 0.21 | dt: 316ms | tok/sec: 829,945 | mfu: 25.6% | epoch: 1 | router_ent: 2.358 | load_cv: 0.259 | max_load: 0.096 | aux: 0.0087 | remaining: 4409s    
step 00022 (0.2%) | loss: 8.879238 | lrm: 0.22 | dt: 314ms | tok/sec: 833,935 | mfu: 25.7% | epoch: 1 | router_ent: 2.357 | load_cv: 0.272 | max_load: 0.097 | aux: 0.0087 | remaining: 4410s    
step 00023 (0.2%) | loss: 8.803040 | lrm: 0.23 | dt: 315ms | tok/sec: 832,830 | mfu: 25.7% | epoch: 1 | router_ent: 2.356 | load_cv: 0.287 | max_load: 0.098 | aux: 0.0087 | remaining: 4412s    
step 00024 (0.2%) | loss: 8.726137 | lrm: 0.24 | dt: 314ms | tok/sec: 834,306 | mfu: 25.8% | epoch: 1 | router_ent: 2.355 | load_cv: 0.300 | max_load: 0.099 | aux: 0.0087 | remaining: 4412s    
step 00025 (0.2%) | loss: 8.640575 | lrm: 0.25 | dt: 315ms | tok/sec: 832,218 | mfu: 25.7% | epoch: 1 | router_ent: 2.354 | load_cv: 0.317 | max_load: 0.101 | aux: 0.0087 | remaining: 4413s    
step 00026 (0.2%) | loss: 8.552517 | lrm: 0.26 | dt: 311ms | tok/sec: 842,004 | mfu: 26.0% | epoch: 1 | router_ent: 2.353 | load_cv: 0.339 | max_load: 0.105 | aux: 0.0087 | remaining: 4411s    
step 00027 (0.2%) | loss: 8.464044 | lrm: 0.27 | dt: 316ms | tok/sec: 830,711 | mfu: 25.6% | epoch: 1 | router_ent: 2.353 | load_cv: 0.346 | max_load: 0.105 | aux: 0.0087 | remaining: 4412s    
step 00028 (0.2%) | loss: 8.370431 | lrm: 0.28 | dt: 318ms | tok/sec: 824,865 | mfu: 25.5% | epoch: 1 | router_ent: 2.351 | load_cv: 0.365 | max_load: 0.108 | aux: 0.0087 | remaining: 4415s    
step 00029 (0.2%) | loss: 8.273179 | lrm: 0.29 | dt: 314ms | tok/sec: 834,046 | mfu: 25.7% | epoch: 1 | router_ent: 2.351 | load_cv: 0.382 | max_load: 0.109 | aux: 0.0087 | remaining: 4415s    
step 00030 (0.2%) | loss: 8.174174 | lrm: 0.30 | dt: 314ms | tok/sec: 833,917 | mfu: 25.7% | epoch: 1 | router_ent: 2.348 | load_cv: 0.396 | max_load: 0.111 | aux: 0.0087 | remaining: 4415s    
step 00031 (0.2%) | loss: 8.074185 | lrm: 0.31 | dt: 315ms | tok/sec: 833,221 | mfu: 25.7% | epoch: 1 | router_ent: 2.348 | load_cv: 0.413 | max_load: 0.113 | aux: 0.0087 | remaining: 4416s    
step 00032 (0.2%) | loss: 7.970208 | lrm: 0.32 | dt: 314ms | tok/sec: 835,484 | mfu: 25.8% | epoch: 1 | router_ent: 2.347 | load_cv: 0.430 | max_load: 0.116 | aux: 0.0087 | remaining: 4415s    
step 00033 (0.2%) | loss: 7.862240 | lrm: 0.33 | dt: 317ms | tok/sec: 825,782 | mfu: 25.5% | epoch: 1 | router_ent: 2.345 | load_cv: 0.454 | max_load: 0.120 | aux: 0.0086 | remaining: 4417s    
step 00034 (0.2%) | loss: 7.758074 | lrm: 0.34 | dt: 315ms | tok/sec: 832,351 | mfu: 25.7% | epoch: 1 | router_ent: 2.346 | load_cv: 0.470 | max_load: 0.123 | aux: 0.0086 | remaining: 4417s    
step 00035 (0.2%) | loss: 7.654363 | lrm: 0.35 | dt: 317ms | tok/sec: 825,775 | mfu: 25.5% | epoch: 1 | router_ent: 2.345 | load_cv: 0.486 | max_load: 0.125 | aux: 0.0086 | remaining: 4419s    
step 00036 (0.3%) | loss: 7.555409 | lrm: 0.36 | dt: 317ms | tok/sec: 826,666 | mfu: 25.5% | epoch: 1 | router_ent: 2.345 | load_cv: 0.497 | max_load: 0.127 | aux: 0.0086 | remaining: 4420s    
step 00037 (0.3%) | loss: 7.458719 | lrm: 0.37 | dt: 316ms | tok/sec: 829,758 | mfu: 25.6% | epoch: 1 | router_ent: 2.345 | load_cv: 0.510 | max_load: 0.130 | aux: 0.0085 | remaining: 4421s    
step 00038 (0.3%) | loss: 7.367814 | lrm: 0.38 | dt: 316ms | tok/sec: 829,274 | mfu: 25.6% | epoch: 1 | router_ent: 2.345 | load_cv: 0.518 | max_load: 0.131 | aux: 0.0085 | remaining: 4421s    
step 00039 (0.3%) | loss: 7.280147 | lrm: 0.39 | dt: 319ms | tok/sec: 822,953 | mfu: 25.4% | epoch: 1 | router_ent: 2.345 | load_cv: 0.520 | max_load: 0.132 | aux: 0.0085 | remaining: 4423s    
step 00040 (0.3%) | loss: 7.197356 | lrm: 0.40 | dt: 315ms | tok/sec: 832,415 | mfu: 25.7% | epoch: 1 | router_ent: 2.345 | load_cv: 0.524 | max_load: 0.133 | aux: 0.0084 | remaining: 4423s    
step 00041 (0.3%) | loss: 7.119680 | lrm: 0.41 | dt: 313ms | tok/sec: 836,949 | mfu: 25.8% | epoch: 1 | router_ent: 2.343 | load_cv: 0.519 | max_load: 0.130 | aux: 0.0084 | remaining: 4422s    
step 00042 (0.3%) | loss: 7.047309 | lrm: 0.42 | dt: 317ms | tok/sec: 827,222 | mfu: 25.5% | epoch: 1 | router_ent: 2.341 | load_cv: 0.514 | max_load: 0.130 | aux: 0.0084 | remaining: 4422s    
step 00043 (0.3%) | loss: 6.976129 | lrm: 0.43 | dt: 318ms | tok/sec: 825,138 | mfu: 25.5% | epoch: 1 | router_ent: 2.339 | load_cv: 0.503 | max_load: 0.127 | aux: 0.0083 | remaining: 4423s    
step 00044 (0.3%) | loss: 6.911713 | lrm: 0.44 | dt: 316ms | tok/sec: 830,803 | mfu: 25.6% | epoch: 1 | router_ent: 2.336 | load_cv: 0.491 | max_load: 0.125 | aux: 0.0083 | remaining: 4423s    
step 00045 (0.3%) | loss: 6.843217 | lrm: 0.45 | dt: 317ms | tok/sec: 827,950 | mfu: 25.6% | epoch: 1 | router_ent: 2.332 | load_cv: 0.481 | max_load: 0.123 | aux: 0.0082 | remaining: 4424s    
step 00046 (0.3%) | loss: 6.777004 | lrm: 0.46 | dt: 316ms | tok/sec: 830,176 | mfu: 25.6% | epoch: 1 | router_ent: 2.328 | load_cv: 0.461 | max_load: 0.119 | aux: 0.0082 | remaining: 4424s    
step 00047 (0.3%) | loss: 6.715437 | lrm: 0.47 | dt: 320ms | tok/sec: 819,332 | mfu: 25.3% | epoch: 1 | router_ent: 2.324 | load_cv: 0.444 | max_load: 0.116 | aux: 0.0082 | remaining: 4426s    
step 00048 (0.3%) | loss: 6.656128 | lrm: 0.48 | dt: 315ms | tok/sec: 831,970 | mfu: 25.7% | epoch: 1 | router_ent: 2.319 | load_cv: 0.420 | max_load: 0.112 | aux: 0.0082 | remaining: 4425s    
step 00049 (0.3%) | loss: 6.598004 | lrm: 0.49 | dt: 314ms | tok/sec: 834,320 | mfu: 25.8% | epoch: 1 | router_ent: 2.316 | load_cv: 0.403 | max_load: 0.111 | aux: 0.0081 | remaining: 4425s    
step 00050 (0.4%) | loss: 6.541320 | lrm: 0.50 | dt: 319ms | tok/sec: 821,143 | mfu: 25.3% | epoch: 1 | router_ent: 2.312 | load_cv: 0.386 | max_load: 0.109 | aux: 0.0081 | remaining: 4426s    
step 00051 (0.4%) | loss: 6.486256 | lrm: 0.51 | dt: 317ms | tok/sec: 826,781 | mfu: 25.5% | epoch: 1 | router_ent: 2.308 | load_cv: 0.375 | max_load: 0.108 | aux: 0.0081 | remaining: 4426s    
step 00052 (0.4%) | loss: 6.436812 | lrm: 0.52 | dt: 315ms | tok/sec: 831,059 | mfu: 25.7% | epoch: 1 | router_ent: 2.304 | load_cv: 0.363 | max_load: 0.107 | aux: 0.0081 | remaining: 4426s    
step 00053 (0.4%) | loss: 6.387843 | lrm: 0.53 | dt: 317ms | tok/sec: 827,675 | mfu: 25.6% | epoch: 1 | router_ent: 2.300 | load_cv: 0.356 | max_load: 0.106 | aux: 0.0080 | remaining: 4426s    
step 00054 (0.4%) | loss: 6.342131 | lrm: 0.54 | dt: 315ms | tok/sec: 832,881 | mfu: 25.7% | epoch: 1 | router_ent: 2.297 | load_cv: 0.352 | max_load: 0.105 | aux: 0.0080 | remaining: 4426s    
step 00055 (0.4%) | loss: 6.298455 | lrm: 0.55 | dt: 316ms | tok/sec: 829,632 | mfu: 25.6% | epoch: 1 | router_ent: 2.294 | load_cv: 0.344 | max_load: 0.104 | aux: 0.0080 | remaining: 4426s    
step 00056 (0.4%) | loss: 6.256171 | lrm: 0.56 | dt: 315ms | tok/sec: 832,288 | mfu: 25.7% | epoch: 1 | router_ent: 2.291 | load_cv: 0.340 | max_load: 0.104 | aux: 0.0080 | remaining: 4425s    
step 00057 (0.4%) | loss: 6.214963 | lrm: 0.57 | dt: 314ms | tok/sec: 834,107 | mfu: 25.7% | epoch: 1 | router_ent: 2.287 | load_cv: 0.341 | max_load: 0.104 | aux: 0.0079 | remaining: 4425s    
step 00058 (0.4%) | loss: 6.175034 | lrm: 0.58 | dt: 316ms | tok/sec: 829,071 | mfu: 25.6% | epoch: 1 | router_ent: 2.286 | load_cv: 0.332 | max_load: 0.104 | aux: 0.0079 | remaining: 4425s    
step 00059 (0.4%) | loss: 6.134480 | lrm: 0.59 | dt: 317ms | tok/sec: 825,888 | mfu: 25.5% | epoch: 1 | router_ent: 2.283 | load_cv: 0.331 | max_load: 0.104 | aux: 0.0078 | remaining: 4425s    
step 00060 (0.4%) | loss: 6.097214 | lrm: 0.60 | dt: 317ms | tok/sec: 828,120 | mfu: 25.6% | epoch: 1 | router_ent: 2.282 | load_cv: 0.330 | max_load: 0.103 | aux: 0.0078 | remaining: 4425s    
step 00061 (0.4%) | loss: 6.063396 | lrm: 0.61 | dt: 315ms | tok/sec: 831,852 | mfu: 25.7% | epoch: 1 | router_ent: 2.280 | load_cv: 0.327 | max_load: 0.104 | aux: 0.0078 | remaining: 4425s    
step 00062 (0.4%) | loss: 6.029274 | lrm: 0.62 | dt: 316ms | tok/sec: 829,615 | mfu: 25.6% | epoch: 1 | router_ent: 2.277 | load_cv: 0.324 | max_load: 0.103 | aux: 0.0077 | remaining: 4425s    
step 00063 (0.4%) | loss: 5.999309 | lrm: 0.63 | dt: 314ms | tok/sec: 834,898 | mfu: 25.8% | epoch: 1 | router_ent: 2.277 | load_cv: 0.319 | max_load: 0.101 | aux: 0.0077 | remaining: 4424s    
step 00064 (0.5%) | loss: 5.966960 | lrm: 0.64 | dt: 313ms | tok/sec: 836,675 | mfu: 25.8% | epoch: 1 | router_ent: 2.274 | load_cv: 0.324 | max_load: 0.102 | aux: 0.0076 | remaining: 4423s    
step 00065 (0.5%) | loss: 5.935259 | lrm: 0.65 | dt: 316ms | tok/sec: 830,214 | mfu: 25.6% | epoch: 1 | router_ent: 2.273 | load_cv: 0.317 | max_load: 0.101 | aux: 0.0076 | remaining: 4423s    
step 00066 (0.5%) | loss: 5.907340 | lrm: 0.66 | dt: 317ms | tok/sec: 826,162 | mfu: 25.5% | epoch: 1 | router_ent: 2.273 | load_cv: 0.315 | max_load: 0.101 | aux: 0.0075 | remaining: 4423s    
step 00067 (0.5%) | loss: 5.881929 | lrm: 0.67 | dt: 312ms | tok/sec: 839,476 | mfu: 25.9% | epoch: 1 | router_ent: 2.273 | load_cv: 0.307 | max_load: 0.100 | aux: 0.0075 | remaining: 4422s    
step 00068 (0.5%) | loss: 5.854335 | lrm: 0.68 | dt: 317ms | tok/sec: 826,956 | mfu: 25.5% | epoch: 1 | router_ent: 2.272 | load_cv: 0.306 | max_load: 0.101 | aux: 0.0074 | remaining: 4422s    
step 00069 (0.5%) | loss: 5.826852 | lrm: 0.69 | dt: 314ms | tok/sec: 835,419 | mfu: 25.8% | epoch: 1 | router_ent: 2.273 | load_cv: 0.305 | max_load: 0.101 | aux: 0.0073 | remaining: 4422s    
step 00070 (0.5%) | loss: 5.800944 | lrm: 0.70 | dt: 317ms | tok/sec: 826,200 | mfu: 25.5% | epoch: 1 | router_ent: 2.273 | load_cv: 0.303 | max_load: 0.101 | aux: 0.0073 | remaining: 4422s    
step 00071 (0.5%) | loss: 5.779463 | lrm: 0.71 | dt: 315ms | tok/sec: 832,305 | mfu: 25.7% | epoch: 1 | router_ent: 2.275 | load_cv: 0.299 | max_load: 0.102 | aux: 0.0072 | remaining: 4422s    
step 00072 (0.5%) | loss: 5.757387 | lrm: 0.72 | dt: 314ms | tok/sec: 834,757 | mfu: 25.8% | epoch: 1 | router_ent: 2.276 | load_cv: 0.297 | max_load: 0.101 | aux: 0.0072 | remaining: 4421s    
step 00073 (0.5%) | loss: 5.736821 | lrm: 0.73 | dt: 314ms | tok/sec: 835,434 | mfu: 25.8% | epoch: 1 | router_ent: 2.279 | load_cv: 0.291 | max_load: 0.100 | aux: 0.0071 | remaining: 4420s    
step 00074 (0.5%) | loss: 5.716825 | lrm: 0.74 | dt: 316ms | tok/sec: 830,836 | mfu: 25.6% | epoch: 1 | router_ent: 2.282 | load_cv: 0.285 | max_load: 0.100 | aux: 0.0070 | remaining: 4420s    
step 00075 (0.5%) | loss: 5.695666 | lrm: 0.75 | dt: 316ms | tok/sec: 830,621 | mfu: 25.6% | epoch: 1 | router_ent: 2.284 | load_cv: 0.286 | max_load: 0.100 | aux: 0.0070 | remaining: 4420s    
step 00076 (0.5%) | loss: 5.677771 | lrm: 0.76 | dt: 315ms | tok/sec: 832,056 | mfu: 25.7% | epoch: 1 | router_ent: 2.289 | load_cv: 0.283 | max_load: 0.100 | aux: 0.0069 | remaining: 4420s    
step 00077 (0.5%) | loss: 5.661110 | lrm: 0.77 | dt: 315ms | tok/sec: 832,204 | mfu: 25.7% | epoch: 1 | router_ent: 2.293 | load_cv: 0.280 | max_load: 0.099 | aux: 0.0068 | remaining: 4419s    
step 00078 (0.6%) | loss: 5.647430 | lrm: 0.78 | dt: 316ms | tok/sec: 829,944 | mfu: 25.6% | epoch: 1 | router_ent: 2.297 | load_cv: 0.282 | max_load: 0.099 | aux: 0.0067 | remaining: 4419s    
step 00079 (0.6%) | loss: 5.630927 | lrm: 0.79 | dt: 312ms | tok/sec: 839,643 | mfu: 25.9% | epoch: 1 | router_ent: 2.302 | load_cv: 0.283 | max_load: 0.100 | aux: 0.0067 | remaining: 4418s    
step 00080 (0.6%) | loss: 5.616171 | lrm: 0.80 | dt: 315ms | tok/sec: 832,458 | mfu: 25.7% | epoch: 1 | router_ent: 2.307 | load_cv: 0.281 | max_load: 0.099 | aux: 0.0066 | remaining: 4418s    
step 00081 (0.6%) | loss: 5.600130 | lrm: 0.81 | dt: 319ms | tok/sec: 822,979 | mfu: 25.4% | epoch: 1 | router_ent: 2.311 | load_cv: 0.286 | max_load: 0.100 | aux: 0.0065 | remaining: 4418s    
step 00082 (0.6%) | loss: 5.583130 | lrm: 0.82 | dt: 318ms | tok/sec: 825,590 | mfu: 25.5% | epoch: 1 | router_ent: 2.316 | load_cv: 0.294 | max_load: 0.101 | aux: 0.0064 | remaining: 4418s    
step 00083 (0.6%) | loss: 5.569288 | lrm: 0.83 | dt: 313ms | tok/sec: 836,262 | mfu: 25.8% | epoch: 1 | router_ent: 2.322 | load_cv: 0.293 | max_load: 0.101 | aux: 0.0064 | remaining: 4418s    
step 00084 (0.6%) | loss: 5.553945 | lrm: 0.84 | dt: 315ms | tok/sec: 831,715 | mfu: 25.7% | epoch: 1 | router_ent: 2.327 | load_cv: 0.296 | max_load: 0.101 | aux: 0.0063 | remaining: 4417s    
step 00085 (0.6%) | loss: 5.542269 | lrm: 0.85 | dt: 316ms | tok/sec: 830,631 | mfu: 25.6% | epoch: 1 | router_ent: 2.332 | load_cv: 0.292 | max_load: 0.101 | aux: 0.0062 | remaining: 4417s    
step 00086 (0.6%) | loss: 5.527251 | lrm: 0.86 | dt: 313ms | tok/sec: 838,457 | mfu: 25.9% | epoch: 1 | router_ent: 2.337 | load_cv: 0.294 | max_load: 0.101 | aux: 0.0061 | remaining: 4416s    
step 00087 (0.6%) | loss: 5.514204 | lrm: 0.87 | dt: 318ms | tok/sec: 825,358 | mfu: 25.5% | epoch: 1 | router_ent: 2.344 | load_cv: 0.288 | max_load: 0.101 | aux: 0.0060 | remaining: 4416s    
