W0610 19:17:04.453000 3204961 site-packages/torch/distributed/run.py:803] 
W0610 19:17:04.453000 3204961 site-packages/torch/distributed/run.py:803] *****************************************
W0610 19:17:04.453000 3204961 site-packages/torch/distributed/run.py:803] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0610 19:17:04.453000 3204961 site-packages/torch/distributed/run.py:803] *****************************************
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Vocab size: 8,192
Distributed: world_size=4, rank=0, local_rank=0
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 12, 'n_head': 10, 'n_kv_head': 2, 'n_embd': 1280, 'window_pattern': 'SSSL', 'num_experts': 16, 'top_k': 2, 'moe_hidden_dim': 3072, 'router_z_loss_coef': 0.00075, 'load_balance_loss_coef': 0.003, 'router_sigmoid_affinity': True, 'router_expert_bias': True, 'router_bias_ema_beta': 0.9, 'router_bias_eta': 0.001, 'router_bias_clamp': 0.25, 'exclusive_attention': True, 'headwise_attention_gate': True, 'attention_gate_init': 0.98, 'attention_gate_scale': 1.0, 'value_mix_enabled': True, 'value_mix_learned': False, 'value_mix_start_layer': 1, 'value_mix_normalized': False, 'value_mix_first_init': 0.75, 'value_mix_local_init': 0.25, 'value_mix_gamma_init': 0.7905694150420949, 'dense_early_layers': 2, 'dense_hidden_dim': 6144}
Parameter counts:
  wte                     : 10,485,760
  lm_head                 : 10,485,760
  transformer_matrices    : 1,982,167,040
  expert_total            : 1,887,436,800
  expert_active           : 235,929,600
  scalars                 : 132
  total                   : 2,003,138,692
  active                  : 351,631,492
Estimated active FLOPs per token: 2.282803e+09
AdamW peak lr: 0.003
Muon peak lr (attn_q): 0.0214663
Muon peak lr (attn_k): 0.0214663
Muon peak lr (attn_v): 0.0214663
Muon peak lr (attn_proj): 0.0214663
Muon peak lr (router): 0.0214663
Muon peak lr (expert_gate): 0.0332554
Muon peak lr (expert_up): 0.0332554
Muon peak lr (expert_down): 0.0332554
Muon peak lr (dense_gate): 0.0470302
Muon peak lr (dense_up): 0.0470302
Muon peak lr (dense_down): 0.0470302
Time budget: 450s
Estimated total steps for LR schedule: 26827
Max train steps: 26827
Global batch tokens: 262,144
Device batch size: 32
Gradient accumulation steps: 1
Eval batch size: 64

step 00000 (0.0%) | loss: 9.521926 | lrm: 0.00 | dt: 9453ms | tok/sec: 27,732 | mfu: 1.6% | epoch: 1 | router_ent: 2.363 | load_cv: 0.191 | max_load: 0.085 | aux: 0.0090 | remaining: 253576s    
step 00001 (0.0%) | loss: 9.521422 | lrm: 0.01 | dt: 616ms | tok/sec: 425,665 | mfu: 24.6% | epoch: 1 | router_ent: 2.362 | load_cv: 0.184 | max_load: 0.084 | aux: 0.0090 | remaining: 16520s    
step 00002 (0.0%) | loss: 9.515968 | lrm: 0.02 | dt: 605ms | tok/sec: 433,075 | mfu: 25.0% | epoch: 1 | router_ent: 2.363 | load_cv: 0.186 | max_load: 0.085 | aux: 0.0090 | remaining: 16237s    
step 00003 (0.0%) | loss: 9.506348 | lrm: 0.03 | dt: 594ms | tok/sec: 441,028 | mfu: 25.4% | epoch: 1 | router_ent: 2.363 | load_cv: 0.186 | max_load: 0.085 | aux: 0.0090 | remaining: 15943s    
step 00004 (0.0%) | loss: 9.484376 | lrm: 0.04 | dt: 608ms | tok/sec: 431,236 | mfu: 24.9% | epoch: 1 | router_ent: 2.363 | load_cv: 0.186 | max_load: 0.085 | aux: 0.0090 | remaining: 16305s    
step 00005 (0.0%) | loss: 9.452366 | lrm: 0.05 | dt: 598ms | tok/sec: 438,515 | mfu: 25.3% | epoch: 1 | router_ent: 2.363 | load_cv: 0.189 | max_load: 0.085 | aux: 0.0090 | remaining: 16034s    
step 00006 (0.0%) | loss: 9.407296 | lrm: 0.06 | dt: 599ms | tok/sec: 437,941 | mfu: 25.3% | epoch: 1 | router_ent: 2.363 | load_cv: 0.194 | max_load: 0.086 | aux: 0.0090 | remaining: 16054s    
step 00007 (0.0%) | loss: 9.348070 | lrm: 0.07 | dt: 603ms | tok/sec: 434,725 | mfu: 25.1% | epoch: 1 | router_ent: 2.363 | load_cv: 0.199 | max_load: 0.087 | aux: 0.0090 | remaining: 16172s    
step 00008 (0.0%) | loss: 9.274206 | lrm: 0.08 | dt: 595ms | tok/sec: 440,449 | mfu: 25.4% | epoch: 1 | router_ent: 2.362 | load_cv: 0.207 | max_load: 0.088 | aux: 0.0090 | remaining: 15961s    
step 00009 (0.0%) | loss: 9.185998 | lrm: 0.09 | dt: 599ms | tok/sec: 437,322 | mfu: 25.2% | epoch: 1 | router_ent: 2.361 | load_cv: 0.221 | max_load: 0.090 | aux: 0.0090 | remaining: 16075s    
step 00010 (0.0%) | loss: 9.082499 | lrm: 0.10 | dt: 597ms | tok/sec: 438,897 | mfu: 25.3% | epoch: 1 | router_ent: 2.359 | load_cv: 0.231 | max_load: 0.091 | aux: 0.0090 | remaining: 16017s    
step 00011 (0.0%) | loss: 8.969616 | lrm: 0.11 | dt: 598ms | tok/sec: 438,240 | mfu: 25.3% | epoch: 1 | router_ent: 2.358 | load_cv: 0.246 | max_load: 0.093 | aux: 0.0090 | remaining: 16040s    
step 00012 (0.0%) | loss: 8.847902 | lrm: 0.12 | dt: 601ms | tok/sec: 436,237 | mfu: 25.2% | epoch: 1 | router_ent: 2.356 | load_cv: 0.265 | max_load: 0.095 | aux: 0.0090 | remaining: 16076s    
step 00013 (0.0%) | loss: 8.717871 | lrm: 0.13 | dt: 601ms | tok/sec: 436,175 | mfu: 25.2% | epoch: 1 | router_ent: 2.353 | load_cv: 0.292 | max_load: 0.099 | aux: 0.0090 | remaining: 16089s    
step 00014 (0.1%) | loss: 8.577842 | lrm: 0.14 | dt: 606ms | tok/sec: 432,918 | mfu: 25.0% | epoch: 1 | router_ent: 2.351 | load_cv: 0.313 | max_load: 0.103 | aux: 0.0090 | remaining: 16125s    
step 00015 (0.1%) | loss: 8.429224 | lrm: 0.15 | dt: 599ms | tok/sec: 437,584 | mfu: 25.2% | epoch: 1 | router_ent: 2.349 | load_cv: 0.342 | max_load: 0.109 | aux: 0.0089 | remaining: 16112s    
step 00016 (0.1%) | loss: 8.272561 | lrm: 0.16 | dt: 605ms | tok/sec: 433,184 | mfu: 25.0% | epoch: 1 | router_ent: 2.347 | load_cv: 0.369 | max_load: 0.114 | aux: 0.0089 | remaining: 16130s    
step 00017 (0.1%) | loss: 8.113900 | lrm: 0.17 | dt: 607ms | tok/sec: 431,818 | mfu: 24.9% | epoch: 1 | router_ent: 2.345 | load_cv: 0.403 | max_load: 0.120 | aux: 0.0089 | remaining: 16150s    
step 00018 (0.1%) | loss: 7.955046 | lrm: 0.18 | dt: 602ms | tok/sec: 435,361 | mfu: 25.1% | epoch: 1 | router_ent: 2.345 | load_cv: 0.440 | max_load: 0.126 | aux: 0.0088 | remaining: 16149s    
step 00019 (0.1%) | loss: 7.797257 | lrm: 0.19 | dt: 607ms | tok/sec: 431,654 | mfu: 24.9% | epoch: 1 | router_ent: 2.344 | load_cv: 0.472 | max_load: 0.132 | aux: 0.0088 | remaining: 16163s    
step 00020 (0.1%) | loss: 7.646599 | lrm: 0.20 | dt: 605ms | tok/sec: 433,165 | mfu: 25.0% | epoch: 1 | router_ent: 2.344 | load_cv: 0.492 | max_load: 0.135 | aux: 0.0087 | remaining: 16168s    
step 00021 (0.1%) | loss: 7.507911 | lrm: 0.21 | dt: 604ms | tok/sec: 434,068 | mfu: 25.0% | epoch: 1 | router_ent: 2.343 | load_cv: 0.507 | max_load: 0.138 | aux: 0.0086 | remaining: 16169s    
step 00022 (0.1%) | loss: 7.377477 | lrm: 0.22 | dt: 608ms | tok/sec: 431,033 | mfu: 24.9% | epoch: 1 | router_ent: 2.342 | load_cv: 0.509 | max_load: 0.137 | aux: 0.0086 | remaining: 16180s    
step 00023 (0.1%) | loss: 7.257484 | lrm: 0.23 | dt: 605ms | tok/sec: 433,543 | mfu: 25.0% | epoch: 1 | router_ent: 2.339 | load_cv: 0.503 | max_load: 0.135 | aux: 0.0085 | remaining: 16181s    
step 00024 (0.1%) | loss: 7.147890 | lrm: 0.24 | dt: 606ms | tok/sec: 432,635 | mfu: 25.0% | epoch: 1 | router_ent: 2.334 | load_cv: 0.480 | max_load: 0.130 | aux: 0.0084 | remaining: 16185s    
step 00025 (0.1%) | loss: 7.038931 | lrm: 0.25 | dt: 608ms | tok/sec: 431,212 | mfu: 24.9% | epoch: 1 | router_ent: 2.327 | load_cv: 0.457 | max_load: 0.125 | aux: 0.0084 | remaining: 16192s    
step 00026 (0.1%) | loss: 6.935175 | lrm: 0.26 | dt: 606ms | tok/sec: 432,608 | mfu: 25.0% | epoch: 1 | router_ent: 2.320 | load_cv: 0.437 | max_load: 0.122 | aux: 0.0083 | remaining: 16194s    
step 00027 (0.1%) | loss: 6.840323 | lrm: 0.27 | dt: 606ms | tok/sec: 432,406 | mfu: 24.9% | epoch: 1 | router_ent: 2.313 | load_cv: 0.410 | max_load: 0.118 | aux: 0.0083 | remaining: 16197s    
step 00028 (0.1%) | loss: 6.750055 | lrm: 0.28 | dt: 604ms | tok/sec: 433,779 | mfu: 25.0% | epoch: 1 | router_ent: 2.306 | load_cv: 0.393 | max_load: 0.114 | aux: 0.0083 | remaining: 16196s    
step 00029 (0.1%) | loss: 6.662835 | lrm: 0.29 | dt: 598ms | tok/sec: 438,213 | mfu: 25.3% | epoch: 1 | router_ent: 2.298 | load_cv: 0.381 | max_load: 0.112 | aux: 0.0082 | remaining: 16187s    
step 00030 (0.1%) | loss: 6.582635 | lrm: 0.30 | dt: 601ms | tok/sec: 436,442 | mfu: 25.2% | epoch: 1 | router_ent: 2.293 | load_cv: 0.369 | max_load: 0.110 | aux: 0.0082 | remaining: 16181s    
step 00031 (0.1%) | loss: 6.506236 | lrm: 0.31 | dt: 600ms | tok/sec: 436,635 | mfu: 25.2% | epoch: 1 | router_ent: 2.291 | load_cv: 0.357 | max_load: 0.107 | aux: 0.0081 | remaining: 16176s    
step 00032 (0.1%) | loss: 6.431754 | lrm: 0.32 | dt: 603ms | tok/sec: 434,587 | mfu: 25.1% | epoch: 1 | router_ent: 2.286 | load_cv: 0.346 | max_load: 0.106 | aux: 0.0081 | remaining: 16175s    
step 00033 (0.1%) | loss: 6.360014 | lrm: 0.33 | dt: 603ms | tok/sec: 434,995 | mfu: 25.1% | epoch: 1 | router_ent: 2.282 | load_cv: 0.338 | max_load: 0.104 | aux: 0.0080 | remaining: 16173s    
step 00034 (0.1%) | loss: 6.294859 | lrm: 0.34 | dt: 602ms | tok/sec: 435,631 | mfu: 25.1% | epoch: 1 | router_ent: 2.277 | load_cv: 0.331 | max_load: 0.102 | aux: 0.0080 | remaining: 16171s    
step 00035 (0.1%) | loss: 6.231832 | lrm: 0.35 | dt: 601ms | tok/sec: 436,128 | mfu: 25.2% | epoch: 1 | router_ent: 2.275 | load_cv: 0.328 | max_load: 0.102 | aux: 0.0079 | remaining: 16167s    
step 00036 (0.1%) | loss: 6.174869 | lrm: 0.36 | dt: 600ms | tok/sec: 436,557 | mfu: 25.2% | epoch: 1 | router_ent: 2.270 | load_cv: 0.323 | max_load: 0.103 | aux: 0.0078 | remaining: 16164s    
step 00037 (0.1%) | loss: 6.119617 | lrm: 0.37 | dt: 608ms | tok/sec: 431,297 | mfu: 24.9% | epoch: 1 | router_ent: 2.268 | load_cv: 0.320 | max_load: 0.102 | aux: 0.0078 | remaining: 16167s    
step 00038 (0.1%) | loss: 6.069774 | lrm: 0.38 | dt: 602ms | tok/sec: 435,385 | mfu: 25.1% | epoch: 1 | router_ent: 2.266 | load_cv: 0.322 | max_load: 0.102 | aux: 0.0077 | remaining: 16166s    
step 00039 (0.1%) | loss: 6.021073 | lrm: 0.39 | dt: 602ms | tok/sec: 435,442 | mfu: 25.1% | epoch: 1 | router_ent: 2.267 | load_cv: 0.321 | max_load: 0.102 | aux: 0.0076 | remaining: 16164s    
step 00040 (0.1%) | loss: 5.977065 | lrm: 0.40 | dt: 606ms | tok/sec: 432,558 | mfu: 24.9% | epoch: 1 | router_ent: 2.264 | load_cv: 0.323 | max_load: 0.103 | aux: 0.0075 | remaining: 16165s    
step 00041 (0.2%) | loss: 5.935099 | lrm: 0.41 | dt: 606ms | tok/sec: 432,708 | mfu: 25.0% | epoch: 1 | router_ent: 2.266 | load_cv: 0.324 | max_load: 0.103 | aux: 0.0074 | remaining: 16167s    
step 00042 (0.2%) | loss: 5.896973 | lrm: 0.42 | dt: 603ms | tok/sec: 435,008 | mfu: 25.1% | epoch: 1 | router_ent: 2.268 | load_cv: 0.327 | max_load: 0.103 | aux: 0.0073 | remaining: 16165s    
step 00043 (0.2%) | loss: 5.859656 | lrm: 0.43 | dt: 605ms | tok/sec: 433,065 | mfu: 25.0% | epoch: 1 | router_ent: 2.270 | load_cv: 0.335 | max_load: 0.104 | aux: 0.0072 | remaining: 16166s    
step 00044 (0.2%) | loss: 5.827656 | lrm: 0.44 | dt: 603ms | tok/sec: 434,682 | mfu: 25.1% | epoch: 1 | router_ent: 2.272 | load_cv: 0.341 | max_load: 0.105 | aux: 0.0070 | remaining: 16165s    
step 00045 (0.2%) | loss: 5.792448 | lrm: 0.45 | dt: 602ms | tok/sec: 435,463 | mfu: 25.1% | epoch: 1 | router_ent: 2.274 | load_cv: 0.352 | max_load: 0.107 | aux: 0.0069 | remaining: 16163s    
step 00046 (0.2%) | loss: 5.760384 | lrm: 0.46 | dt: 600ms | tok/sec: 436,710 | mfu: 25.2% | epoch: 1 | router_ent: 2.276 | load_cv: 0.350 | max_load: 0.106 | aux: 0.0068 | remaining: 16160s    
step 00047 (0.2%) | loss: 5.732670 | lrm: 0.47 | dt: 605ms | tok/sec: 433,276 | mfu: 25.0% | epoch: 1 | router_ent: 2.281 | load_cv: 0.359 | max_load: 0.107 | aux: 0.0067 | remaining: 16161s    
step 00048 (0.2%) | loss: 5.707303 | lrm: 0.48 | dt: 603ms | tok/sec: 434,683 | mfu: 25.1% | epoch: 1 | router_ent: 2.282 | load_cv: 0.365 | max_load: 0.107 | aux: 0.0065 | remaining: 16160s    
step 00049 (0.2%) | loss: 5.682347 | lrm: 0.49 | dt: 604ms | tok/sec: 434,069 | mfu: 25.0% | epoch: 1 | router_ent: 2.287 | load_cv: 0.370 | max_load: 0.107 | aux: 0.0064 | remaining: 16160s    
step 00050 (0.2%) | loss: 5.656763 | lrm: 0.50 | dt: 600ms | tok/sec: 436,674 | mfu: 25.2% | epoch: 1 | router_ent: 2.289 | load_cv: 0.378 | max_load: 0.108 | aux: 0.0063 | remaining: 16157s    
step 00051 (0.2%) | loss: 5.631907 | lrm: 0.51 | dt: 608ms | tok/sec: 431,209 | mfu: 24.9% | epoch: 1 | router_ent: 2.292 | load_cv: 0.385 | max_load: 0.111 | aux: 0.0062 | remaining: 16159s    
step 00052 (0.2%) | loss: 5.612727 | lrm: 0.52 | dt: 604ms | tok/sec: 434,160 | mfu: 25.0% | epoch: 1 | router_ent: 2.293 | load_cv: 0.395 | max_load: 0.113 | aux: 0.0060 | remaining: 16159s    
step 00053 (0.2%) | loss: 5.593269 | lrm: 0.53 | dt: 603ms | tok/sec: 434,841 | mfu: 25.1% | epoch: 1 | router_ent: 2.297 | load_cv: 0.405 | max_load: 0.116 | aux: 0.0059 | remaining: 16158s    
step 00054 (0.2%) | loss: 5.576860 | lrm: 0.54 | dt: 606ms | tok/sec: 432,356 | mfu: 24.9% | epoch: 1 | router_ent: 2.300 | load_cv: 0.416 | max_load: 0.119 | aux: 0.0057 | remaining: 16159s    
step 00055 (0.2%) | loss: 5.560811 | lrm: 0.55 | dt: 602ms | tok/sec: 435,232 | mfu: 25.1% | epoch: 1 | router_ent: 2.302 | load_cv: 0.422 | max_load: 0.123 | aux: 0.0056 | remaining: 16158s    
step 00056 (0.2%) | loss: 5.545814 | lrm: 0.56 | dt: 602ms | tok/sec: 435,404 | mfu: 25.1% | epoch: 1 | router_ent: 2.301 | load_cv: 0.436 | max_load: 0.127 | aux: 0.0055 | remaining: 16156s    
step 00057 (0.2%) | loss: 5.530599 | lrm: 0.57 | dt: 603ms | tok/sec: 434,604 | mfu: 25.1% | epoch: 1 | router_ent: 2.301 | load_cv: 0.456 | max_load: 0.132 | aux: 0.0054 | remaining: 16155s    
step 00058 (0.2%) | loss: 5.517328 | lrm: 0.58 | dt: 603ms | tok/sec: 434,891 | mfu: 25.1% | epoch: 1 | router_ent: 2.299 | load_cv: 0.474 | max_load: 0.134 | aux: 0.0053 | remaining: 16154s    
step 00059 (0.2%) | loss: 5.502104 | lrm: 0.59 | dt: 604ms | tok/sec: 433,770 | mfu: 25.0% | epoch: 1 | router_ent: 2.297 | load_cv: 0.482 | max_load: 0.137 | aux: 0.0052 | remaining: 16154s    
step 00060 (0.2%) | loss: 5.488949 | lrm: 0.60 | dt: 604ms | tok/sec: 433,997 | mfu: 25.0% | epoch: 1 | router_ent: 2.297 | load_cv: 0.492 | max_load: 0.139 | aux: 0.0050 | remaining: 16154s    
step 00061 (0.2%) | loss: 5.478366 | lrm: 0.61 | dt: 608ms | tok/sec: 431,426 | mfu: 24.9% | epoch: 1 | router_ent: 2.291 | load_cv: 0.510 | max_load: 0.143 | aux: 0.0050 | remaining: 16155s    
step 00062 (0.2%) | loss: 5.467345 | lrm: 0.62 | dt: 602ms | tok/sec: 435,424 | mfu: 25.1% | epoch: 1 | router_ent: 2.288 | load_cv: 0.523 | max_load: 0.146 | aux: 0.0048 | remaining: 16154s    
step 00063 (0.2%) | loss: 5.458186 | lrm: 0.63 | dt: 602ms | tok/sec: 435,115 | mfu: 25.1% | epoch: 1 | router_ent: 2.280 | load_cv: 0.548 | max_load: 0.155 | aux: 0.0048 | remaining: 16153s    
step 00064 (0.2%) | loss: 5.446158 | lrm: 0.64 | dt: 611ms | tok/sec: 429,090 | mfu: 24.7% | epoch: 1 | router_ent: 2.278 | load_cv: 0.548 | max_load: 0.153 | aux: 0.0047 | remaining: 16156s    
step 00065 (0.2%) | loss: 5.434426 | lrm: 0.65 | dt: 601ms | tok/sec: 436,530 | mfu: 25.2% | epoch: 1 | router_ent: 2.271 | load_cv: 0.565 | max_load: 0.157 | aux: 0.0046 | remaining: 16154s    
step 00066 (0.2%) | loss: 5.424456 | lrm: 0.66 | dt: 606ms | tok/sec: 432,600 | mfu: 25.0% | epoch: 1 | router_ent: 2.263 | load_cv: 0.589 | max_load: 0.161 | aux: 0.0046 | remaining: 16154s    
step 00067 (0.2%) | loss: 5.417180 | lrm: 0.67 | dt: 607ms | tok/sec: 432,167 | mfu: 24.9% | epoch: 1 | router_ent: 2.254 | load_cv: 0.596 | max_load: 0.163 | aux: 0.0045 | remaining: 16155s    
step 00068 (0.3%) | loss: 5.406938 | lrm: 0.68 | dt: 602ms | tok/sec: 435,504 | mfu: 25.1% | epoch: 1 | router_ent: 2.245 | load_cv: 0.604 | max_load: 0.162 | aux: 0.0044 | remaining: 16154s    
step 00069 (0.3%) | loss: 5.395718 | lrm: 0.69 | dt: 607ms | tok/sec: 432,083 | mfu: 24.9% | epoch: 1 | router_ent: 2.237 | load_cv: 0.605 | max_load: 0.159 | aux: 0.0043 | remaining: 16154s    
step 00070 (0.3%) | loss: 5.384219 | lrm: 0.70 | dt: 607ms | tok/sec: 431,548 | mfu: 24.9% | epoch: 1 | router_ent: 2.230 | load_cv: 0.597 | max_load: 0.156 | aux: 0.0042 | remaining: 16155s    
step 00071 (0.3%) | loss: 5.376962 | lrm: 0.71 | dt: 603ms | tok/sec: 435,026 | mfu: 25.1% | epoch: 1 | router_ent: 2.216 | load_cv: 0.600 | max_load: 0.154 | aux: 0.0042 | remaining: 16154s    
step 00072 (0.3%) | loss: 5.369236 | lrm: 0.72 | dt: 607ms | tok/sec: 431,928 | mfu: 24.9% | epoch: 1 | router_ent: 2.210 | load_cv: 0.608 | max_load: 0.158 | aux: 0.0041 | remaining: 16155s    
step 00073 (0.3%) | loss: 5.361398 | lrm: 0.73 | dt: 605ms | tok/sec: 433,550 | mfu: 25.0% | epoch: 1 | router_ent: 2.194 | load_cv: 0.621 | max_load: 0.158 | aux: 0.0041 | remaining: 16155s    
step 00074 (0.3%) | loss: 5.352255 | lrm: 0.74 | dt: 606ms | tok/sec: 432,842 | mfu: 25.0% | epoch: 1 | router_ent: 2.188 | load_cv: 0.630 | max_load: 0.160 | aux: 0.0040 | remaining: 16155s    
step 00075 (0.3%) | loss: 5.341145 | lrm: 0.75 | dt: 609ms | tok/sec: 430,304 | mfu: 24.8% | epoch: 1 | router_ent: 2.171 | load_cv: 0.638 | max_load: 0.165 | aux: 0.0040 | remaining: 16156s    
step 00076 (0.3%) | loss: 5.333249 | lrm: 0.76 | dt: 607ms | tok/sec: 431,534 | mfu: 24.9% | epoch: 1 | router_ent: 2.165 | load_cv: 0.647 | max_load: 0.166 | aux: 0.0039 | remaining: 16157s    
step 00077 (0.3%) | loss: 5.326136 | lrm: 0.77 | dt: 609ms | tok/sec: 430,721 | mfu: 24.8% | epoch: 1 | router_ent: 2.143 | load_cv: 0.663 | max_load: 0.170 | aux: 0.0039 | remaining: 16159s    
step 00078 (0.3%) | loss: 5.320045 | lrm: 0.78 | dt: 603ms | tok/sec: 434,467 | mfu: 25.1% | epoch: 1 | router_ent: 2.138 | load_cv: 0.684 | max_load: 0.173 | aux: 0.0039 | remaining: 16158s    
step 00079 (0.3%) | loss: 5.310508 | lrm: 0.79 | dt: 612ms | tok/sec: 428,271 | mfu: 24.7% | epoch: 1 | router_ent: 2.108 | load_cv: 0.713 | max_load: 0.182 | aux: 0.0040 | remaining: 16160s    
step 00080 (0.3%) | loss: 5.302303 | lrm: 0.80 | dt: 607ms | tok/sec: 432,093 | mfu: 24.9% | epoch: 1 | router_ent: 2.108 | load_cv: 0.723 | max_load: 0.178 | aux: 0.0039 | remaining: 16160s    
step 00081 (0.3%) | loss: 5.292384 | lrm: 0.81 | dt: 609ms | tok/sec: 430,108 | mfu: 24.8% | epoch: 1 | router_ent: 2.075 | load_cv: 0.718 | max_load: 0.177 | aux: 0.0040 | remaining: 16162s    
step 00082 (0.3%) | loss: 5.280685 | lrm: 0.82 | dt: 608ms | tok/sec: 431,362 | mfu: 24.9% | epoch: 1 | router_ent: 2.076 | load_cv: 0.724 | max_load: 0.174 | aux: 0.0039 | remaining: 16163s    
step 00083 (0.3%) | loss: 5.270060 | lrm: 0.83 | dt: 608ms | tok/sec: 431,117 | mfu: 24.9% | epoch: 1 | router_ent: 2.045 | load_cv: 0.703 | max_load: 0.165 | aux: 0.0039 | remaining: 16163s    
step 00084 (0.3%) | loss: 5.257646 | lrm: 0.84 | dt: 608ms | tok/sec: 430,819 | mfu: 24.8% | epoch: 1 | router_ent: 2.040 | load_cv: 0.712 | max_load: 0.162 | aux: 0.0038 | remaining: 16164s    
step 00085 (0.3%) | loss: 5.246663 | lrm: 0.85 | dt: 609ms | tok/sec: 430,528 | mfu: 24.8% | epoch: 1 | router_ent: 2.003 | load_cv: 0.733 | max_load: 0.168 | aux: 0.0040 | remaining: 16165s    
step 00086 (0.3%) | loss: 5.232595 | lrm: 0.86 | dt: 607ms | tok/sec: 431,587 | mfu: 24.9% | epoch: 1 | router_ent: 1.994 | load_cv: 0.738 | max_load: 0.172 | aux: 0.0039 | remaining: 16166s    
step 00087 (0.3%) | loss: 5.220270 | lrm: 0.87 | dt: 608ms | tok/sec: 430,982 | mfu: 24.9% | epoch: 1 | router_ent: 1.969 | load_cv: 0.733 | max_load: 0.166 | aux: 0.0040 | remaining: 16166s    
step 00088 (0.3%) | loss: 5.210363 | lrm: 0.88 | dt: 606ms | tok/sec: 432,322 | mfu: 24.9% | epoch: 1 | router_ent: 1.956 | load_cv: 0.758 | max_load: 0.174 | aux: 0.0040 | remaining: 16166s    
step 00089 (0.3%) | loss: 5.196329 | lrm: 0.89 | dt: 606ms | tok/sec: 432,390 | mfu: 24.9% | epoch: 1 | router_ent: 1.924 | load_cv: 0.764 | max_load: 0.169 | aux: 0.0041 | remaining: 16166s    
step 00090 (0.3%) | loss: 5.185373 | lrm: 0.90 | dt: 610ms | tok/sec: 429,730 | mfu: 24.8% | epoch: 1 | router_ent: 1.908 | load_cv: 0.758 | max_load: 0.167 | aux: 0.0041 | remaining: 16167s    
step 00091 (0.3%) | loss: 5.175048 | lrm: 0.91 | dt: 607ms | tok/sec: 432,100 | mfu: 24.9% | epoch: 1 | router_ent: 1.883 | load_cv: 0.767 | max_load: 0.171 | aux: 0.0041 | remaining: 16167s    
step 00092 (0.3%) | loss: 5.164541 | lrm: 0.92 | dt: 609ms | tok/sec: 430,150 | mfu: 24.8% | epoch: 1 | router_ent: 1.864 | load_cv: 0.760 | max_load: 0.166 | aux: 0.0041 | remaining: 16168s    
