W0611 22:40:23.109000 2533140 site-packages/torch/distributed/run.py:803] 
W0611 22:40:23.109000 2533140 site-packages/torch/distributed/run.py:803] *****************************************
W0611 22:40:23.109000 2533140 site-packages/torch/distributed/run.py:803] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0611 22:40:23.109000 2533140 site-packages/torch/distributed/run.py:803] *****************************************
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Vocab size: 8,192
Distributed: world_size=4, rank=0, local_rank=0
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 7, 'n_head': 10, 'n_kv_head': 2, 'n_embd': 640, 'window_pattern': 'SSSL', 'num_experts': 16, 'top_k': 2, 'moe_hidden_dim': 2176, 'router_z_loss_coef': 0.00075, 'load_balance_loss_coef': 0.003, 'router_sigmoid_affinity': True, 'router_expert_bias': True, 'router_bias_ema_beta': 0.9, 'router_bias_eta': 0.001, 'router_bias_clamp': 0.25, 'exclusive_attention': True, 'headwise_attention_gate': True, 'attention_gate_init': 0.98, 'attention_gate_scale': 1.0, 'value_mix_enabled': True, 'value_mix_learned': False, 'value_mix_start_layer': 1, 'value_mix_normalized': False, 'value_mix_first_init': 0.75, 'value_mix_local_init': 0.25, 'value_mix_gamma_init': 0.7905694150420949, 'dense_early_layers': 0, 'dense_hidden_dim': 4352}
Parameter counts:
  wte                     : 5,242,880
  lm_head                 : 5,242,880
  transformer_matrices    : 474,924,800
  expert_total            : 467,927,040
  expert_active           : 58,490,880
  scalars                 : 77
  total                   : 485,410,637
  active                  : 75,974,477
Estimated active FLOPs per token: 4.951680e+08
AdamW peak lr: 0.003
Muon peak lr (attn_q): 0.0151789
Muon peak lr (attn_k): 0.0151789
Muon peak lr (attn_v): 0.0151789
Muon peak lr (attn_proj): 0.0151789
Muon peak lr (router): 0.0151789
Muon peak lr (expert_gate): 0.0279886
Muon peak lr (expert_up): 0.0279886
Muon peak lr (expert_down): 0.0279886
Time budget: 450s
Estimated total steps for LR schedule: 5800
Max train steps: 5800
Global batch tokens: 262,144
Device batch size: 32
Gradient accumulation steps: 1
Eval batch size: 64

step 00000 (0.0%) | loss: 9.512823 | lrm: 0.00 | dt: 9933ms | tok/sec: 26,392 | mfu: 0.3% | epoch: 1 | router_ent: 2.367 | load_cv: 0.187 | max_load: 0.089 | aux: 0.0108 | remaining: 57599s    
step 00001 (0.0%) | loss: 9.512927 | lrm: 0.01 | dt: 237ms | tok/sec: 1,108,187 | mfu: 13.9% | epoch: 1 | router_ent: 2.368 | load_cv: 0.184 | max_load: 0.088 | aux: 0.0108 | remaining: 1372s    
step 00002 (0.0%) | loss: 9.511377 | lrm: 0.02 | dt: 163ms | tok/sec: 1,606,803 | mfu: 20.1% | epoch: 1 | router_ent: 2.367 | load_cv: 0.178 | max_load: 0.087 | aux: 0.0108 | remaining: 946s    
step 00003 (0.1%) | loss: 9.505690 | lrm: 0.03 | dt: 162ms | tok/sec: 1,614,286 | mfu: 20.2% | epoch: 1 | router_ent: 2.368 | load_cv: 0.181 | max_load: 0.088 | aux: 0.0108 | remaining: 941s    
step 00004 (0.1%) | loss: 9.498608 | lrm: 0.04 | dt: 163ms | tok/sec: 1,605,562 | mfu: 20.1% | epoch: 1 | router_ent: 2.368 | load_cv: 0.180 | max_load: 0.087 | aux: 0.0108 | remaining: 946s    
step 00005 (0.1%) | loss: 9.487828 | lrm: 0.05 | dt: 164ms | tok/sec: 1,598,543 | mfu: 20.0% | epoch: 1 | router_ent: 2.368 | load_cv: 0.181 | max_load: 0.087 | aux: 0.0108 | remaining: 950s    
step 00006 (0.1%) | loss: 9.472972 | lrm: 0.06 | dt: 167ms | tok/sec: 1,566,396 | mfu: 19.6% | epoch: 1 | router_ent: 2.367 | load_cv: 0.182 | max_load: 0.087 | aux: 0.0108 | remaining: 969s    
step 00007 (0.1%) | loss: 9.454011 | lrm: 0.07 | dt: 167ms | tok/sec: 1,571,294 | mfu: 19.7% | epoch: 1 | router_ent: 2.368 | load_cv: 0.180 | max_load: 0.087 | aux: 0.0107 | remaining: 966s    
step 00008 (0.1%) | loss: 9.428486 | lrm: 0.08 | dt: 164ms | tok/sec: 1,595,659 | mfu: 20.0% | epoch: 1 | router_ent: 2.368 | load_cv: 0.178 | max_load: 0.086 | aux: 0.0107 | remaining: 951s    
step 00009 (0.2%) | loss: 9.398732 | lrm: 0.09 | dt: 164ms | tok/sec: 1,596,765 | mfu: 20.0% | epoch: 1 | router_ent: 2.368 | load_cv: 0.178 | max_load: 0.086 | aux: 0.0107 | remaining: 951s    
step 00010 (0.2%) | loss: 9.362541 | lrm: 0.10 | dt: 163ms | tok/sec: 1,612,740 | mfu: 20.2% | epoch: 1 | router_ent: 2.369 | load_cv: 0.181 | max_load: 0.086 | aux: 0.0107 | remaining: 941s    
step 00011 (0.2%) | loss: 9.321033 | lrm: 0.11 | dt: 164ms | tok/sec: 1,600,018 | mfu: 20.0% | epoch: 1 | router_ent: 2.369 | load_cv: 0.184 | max_load: 0.087 | aux: 0.0107 | remaining: 948s    
step 00012 (0.2%) | loss: 9.273721 | lrm: 0.12 | dt: 166ms | tok/sec: 1,580,759 | mfu: 19.8% | epoch: 1 | router_ent: 2.370 | load_cv: 0.188 | max_load: 0.087 | aux: 0.0107 | remaining: 954s    
step 00013 (0.2%) | loss: 9.219848 | lrm: 0.13 | dt: 166ms | tok/sec: 1,583,756 | mfu: 19.8% | epoch: 1 | router_ent: 2.370 | load_cv: 0.200 | max_load: 0.089 | aux: 0.0107 | remaining: 955s    
step 00014 (0.2%) | loss: 9.156686 | lrm: 0.14 | dt: 163ms | tok/sec: 1,604,393 | mfu: 20.1% | epoch: 1 | router_ent: 2.370 | load_cv: 0.213 | max_load: 0.091 | aux: 0.0107 | remaining: 952s    
step 00015 (0.3%) | loss: 9.085920 | lrm: 0.15 | dt: 163ms | tok/sec: 1,604,679 | mfu: 20.1% | epoch: 1 | router_ent: 2.370 | load_cv: 0.223 | max_load: 0.092 | aux: 0.0107 | remaining: 951s    
step 00016 (0.3%) | loss: 9.006843 | lrm: 0.16 | dt: 165ms | tok/sec: 1,589,167 | mfu: 19.9% | epoch: 1 | router_ent: 2.369 | load_cv: 0.239 | max_load: 0.094 | aux: 0.0106 | remaining: 951s    
step 00017 (0.3%) | loss: 8.921723 | lrm: 0.17 | dt: 163ms | tok/sec: 1,604,079 | mfu: 20.1% | epoch: 1 | router_ent: 2.369 | load_cv: 0.252 | max_load: 0.096 | aux: 0.0106 | remaining: 950s    
step 00018 (0.3%) | loss: 8.828981 | lrm: 0.18 | dt: 165ms | tok/sec: 1,587,850 | mfu: 19.9% | epoch: 1 | router_ent: 2.369 | load_cv: 0.272 | max_load: 0.099 | aux: 0.0106 | remaining: 951s    
step 00019 (0.3%) | loss: 8.728856 | lrm: 0.19 | dt: 167ms | tok/sec: 1,572,804 | mfu: 19.7% | epoch: 1 | router_ent: 2.368 | load_cv: 0.293 | max_load: 0.102 | aux: 0.0106 | remaining: 952s    
step 00020 (0.3%) | loss: 8.620069 | lrm: 0.20 | dt: 164ms | tok/sec: 1,595,949 | mfu: 20.0% | epoch: 1 | router_ent: 2.368 | load_cv: 0.314 | max_load: 0.104 | aux: 0.0105 | remaining: 951s    
step 00021 (0.4%) | loss: 8.507075 | lrm: 0.21 | dt: 165ms | tok/sec: 1,589,567 | mfu: 19.9% | epoch: 1 | router_ent: 2.368 | load_cv: 0.339 | max_load: 0.107 | aux: 0.0105 | remaining: 951s    
step 00022 (0.4%) | loss: 8.385465 | lrm: 0.22 | dt: 166ms | tok/sec: 1,582,996 | mfu: 19.8% | epoch: 1 | router_ent: 2.368 | load_cv: 0.362 | max_load: 0.111 | aux: 0.0104 | remaining: 952s    
step 00023 (0.4%) | loss: 8.259384 | lrm: 0.23 | dt: 165ms | tok/sec: 1,587,742 | mfu: 19.9% | epoch: 1 | router_ent: 2.368 | load_cv: 0.390 | max_load: 0.116 | aux: 0.0104 | remaining: 952s    
step 00024 (0.4%) | loss: 8.134482 | lrm: 0.24 | dt: 165ms | tok/sec: 1,584,066 | mfu: 19.8% | epoch: 1 | router_ent: 2.370 | load_cv: 0.410 | max_load: 0.119 | aux: 0.0103 | remaining: 952s    
step 00025 (0.4%) | loss: 8.003859 | lrm: 0.25 | dt: 165ms | tok/sec: 1,592,954 | mfu: 19.9% | epoch: 1 | router_ent: 2.371 | load_cv: 0.436 | max_load: 0.122 | aux: 0.0103 | remaining: 952s    
step 00026 (0.4%) | loss: 7.876787 | lrm: 0.26 | dt: 165ms | tok/sec: 1,592,502 | mfu: 19.9% | epoch: 1 | router_ent: 2.372 | load_cv: 0.453 | max_load: 0.125 | aux: 0.0102 | remaining: 951s    
step 00027 (0.5%) | loss: 7.757753 | lrm: 0.27 | dt: 166ms | tok/sec: 1,583,078 | mfu: 19.8% | epoch: 1 | router_ent: 2.373 | load_cv: 0.465 | max_load: 0.126 | aux: 0.0101 | remaining: 951s    
step 00028 (0.5%) | loss: 7.644423 | lrm: 0.28 | dt: 165ms | tok/sec: 1,587,884 | mfu: 19.9% | epoch: 1 | router_ent: 2.373 | load_cv: 0.475 | max_load: 0.128 | aux: 0.0101 | remaining: 951s    
step 00029 (0.5%) | loss: 7.536245 | lrm: 0.29 | dt: 171ms | tok/sec: 1,537,281 | mfu: 19.2% | epoch: 1 | router_ent: 2.374 | load_cv: 0.480 | max_load: 0.128 | aux: 0.0100 | remaining: 953s    
step 00030 (0.5%) | loss: 7.435829 | lrm: 0.30 | dt: 163ms | tok/sec: 1,605,021 | mfu: 20.1% | epoch: 1 | router_ent: 2.372 | load_cv: 0.477 | max_load: 0.127 | aux: 0.0099 | remaining: 952s    
step 00031 (0.5%) | loss: 7.341782 | lrm: 0.31 | dt: 165ms | tok/sec: 1,586,555 | mfu: 19.8% | epoch: 1 | router_ent: 2.370 | load_cv: 0.466 | max_load: 0.124 | aux: 0.0099 | remaining: 952s    
step 00032 (0.6%) | loss: 7.250090 | lrm: 0.32 | dt: 167ms | tok/sec: 1,573,007 | mfu: 19.7% | epoch: 1 | router_ent: 2.367 | load_cv: 0.451 | max_load: 0.120 | aux: 0.0098 | remaining: 952s    
step 00033 (0.6%) | loss: 7.159610 | lrm: 0.33 | dt: 165ms | tok/sec: 1,584,977 | mfu: 19.8% | epoch: 1 | router_ent: 2.362 | load_cv: 0.433 | max_load: 0.118 | aux: 0.0098 | remaining: 952s    
step 00034 (0.6%) | loss: 7.073866 | lrm: 0.34 | dt: 167ms | tok/sec: 1,568,479 | mfu: 19.6% | epoch: 1 | router_ent: 2.356 | load_cv: 0.412 | max_load: 0.115 | aux: 0.0097 | remaining: 953s    
step 00035 (0.6%) | loss: 6.989274 | lrm: 0.35 | dt: 164ms | tok/sec: 1,595,548 | mfu: 20.0% | epoch: 1 | router_ent: 2.349 | load_cv: 0.394 | max_load: 0.112 | aux: 0.0097 | remaining: 952s    
step 00036 (0.6%) | loss: 6.908728 | lrm: 0.36 | dt: 164ms | tok/sec: 1,595,002 | mfu: 20.0% | epoch: 1 | router_ent: 2.341 | load_cv: 0.372 | max_load: 0.109 | aux: 0.0097 | remaining: 952s    
step 00037 (0.6%) | loss: 6.828856 | lrm: 0.37 | dt: 164ms | tok/sec: 1,596,693 | mfu: 20.0% | epoch: 1 | router_ent: 2.333 | load_cv: 0.351 | max_load: 0.105 | aux: 0.0097 | remaining: 951s    
step 00038 (0.7%) | loss: 6.754313 | lrm: 0.38 | dt: 166ms | tok/sec: 1,575,080 | mfu: 19.7% | epoch: 1 | router_ent: 2.325 | load_cv: 0.335 | max_load: 0.103 | aux: 0.0097 | remaining: 952s    
step 00039 (0.7%) | loss: 6.681191 | lrm: 0.39 | dt: 165ms | tok/sec: 1,586,319 | mfu: 19.8% | epoch: 1 | router_ent: 2.317 | load_cv: 0.323 | max_load: 0.101 | aux: 0.0097 | remaining: 951s    
step 00040 (0.7%) | loss: 6.613088 | lrm: 0.40 | dt: 167ms | tok/sec: 1,569,717 | mfu: 19.6% | epoch: 1 | router_ent: 2.309 | load_cv: 0.312 | max_load: 0.101 | aux: 0.0097 | remaining: 952s    
step 00041 (0.7%) | loss: 6.547650 | lrm: 0.41 | dt: 164ms | tok/sec: 1,603,324 | mfu: 20.1% | epoch: 1 | router_ent: 2.304 | load_cv: 0.302 | max_load: 0.101 | aux: 0.0097 | remaining: 951s    
step 00042 (0.7%) | loss: 6.486452 | lrm: 0.42 | dt: 164ms | tok/sec: 1,594,084 | mfu: 19.9% | epoch: 1 | router_ent: 2.296 | load_cv: 0.292 | max_load: 0.097 | aux: 0.0097 | remaining: 951s    
step 00043 (0.7%) | loss: 6.426372 | lrm: 0.43 | dt: 166ms | tok/sec: 1,583,370 | mfu: 19.8% | epoch: 1 | router_ent: 2.290 | load_cv: 0.285 | max_load: 0.096 | aux: 0.0097 | remaining: 951s    
step 00044 (0.8%) | loss: 6.371596 | lrm: 0.44 | dt: 165ms | tok/sec: 1,593,502 | mfu: 19.9% | epoch: 1 | router_ent: 2.286 | load_cv: 0.278 | max_load: 0.096 | aux: 0.0096 | remaining: 950s    
step 00045 (0.8%) | loss: 6.313350 | lrm: 0.45 | dt: 165ms | tok/sec: 1,588,582 | mfu: 19.9% | epoch: 1 | router_ent: 2.281 | load_cv: 0.284 | max_load: 0.099 | aux: 0.0096 | remaining: 950s    
step 00046 (0.8%) | loss: 6.258358 | lrm: 0.46 | dt: 165ms | tok/sec: 1,588,141 | mfu: 19.9% | epoch: 1 | router_ent: 2.277 | load_cv: 0.281 | max_load: 0.098 | aux: 0.0095 | remaining: 950s    
step 00047 (0.8%) | loss: 6.208311 | lrm: 0.47 | dt: 163ms | tok/sec: 1,605,236 | mfu: 20.1% | epoch: 1 | router_ent: 2.275 | load_cv: 0.279 | max_load: 0.099 | aux: 0.0095 | remaining: 950s    
step 00048 (0.8%) | loss: 6.161617 | lrm: 0.48 | dt: 164ms | tok/sec: 1,602,394 | mfu: 20.0% | epoch: 1 | router_ent: 2.272 | load_cv: 0.278 | max_load: 0.099 | aux: 0.0094 | remaining: 949s    
step 00049 (0.8%) | loss: 6.117036 | lrm: 0.49 | dt: 166ms | tok/sec: 1,576,609 | mfu: 19.7% | epoch: 1 | router_ent: 2.271 | load_cv: 0.278 | max_load: 0.100 | aux: 0.0093 | remaining: 949s    
step 00050 (0.9%) | loss: 6.072154 | lrm: 0.50 | dt: 163ms | tok/sec: 1,605,642 | mfu: 20.1% | epoch: 1 | router_ent: 2.270 | load_cv: 0.279 | max_load: 0.101 | aux: 0.0093 | remaining: 949s    
step 00051 (0.9%) | loss: 6.028874 | lrm: 0.51 | dt: 165ms | tok/sec: 1,593,386 | mfu: 19.9% | epoch: 1 | router_ent: 2.269 | load_cv: 0.274 | max_load: 0.099 | aux: 0.0092 | remaining: 949s    
step 00052 (0.9%) | loss: 5.991841 | lrm: 0.52 | dt: 167ms | tok/sec: 1,571,534 | mfu: 19.7% | epoch: 1 | router_ent: 2.269 | load_cv: 0.276 | max_load: 0.100 | aux: 0.0091 | remaining: 949s    
step 00053 (0.9%) | loss: 5.954612 | lrm: 0.53 | dt: 163ms | tok/sec: 1,611,764 | mfu: 20.2% | epoch: 1 | router_ent: 2.270 | load_cv: 0.279 | max_load: 0.101 | aux: 0.0091 | remaining: 948s    
step 00054 (0.9%) | loss: 5.921229 | lrm: 0.54 | dt: 164ms | tok/sec: 1,603,254 | mfu: 20.1% | epoch: 1 | router_ent: 2.272 | load_cv: 0.281 | max_load: 0.102 | aux: 0.0090 | remaining: 948s    
step 00055 (0.9%) | loss: 5.888881 | lrm: 0.55 | dt: 168ms | tok/sec: 1,563,974 | mfu: 19.6% | epoch: 1 | router_ent: 2.273 | load_cv: 0.278 | max_load: 0.101 | aux: 0.0089 | remaining: 948s    
step 00056 (1.0%) | loss: 5.858241 | lrm: 0.56 | dt: 164ms | tok/sec: 1,597,006 | mfu: 20.0% | epoch: 1 | router_ent: 2.276 | load_cv: 0.274 | max_load: 0.099 | aux: 0.0088 | remaining: 948s    
step 00057 (1.0%) | loss: 5.828526 | lrm: 0.57 | dt: 163ms | tok/sec: 1,603,911 | mfu: 20.1% | epoch: 1 | router_ent: 2.280 | load_cv: 0.274 | max_load: 0.098 | aux: 0.0087 | remaining: 947s    
step 00058 (1.0%) | loss: 5.800431 | lrm: 0.58 | dt: 167ms | tok/sec: 1,568,646 | mfu: 19.6% | epoch: 1 | router_ent: 2.284 | load_cv: 0.269 | max_load: 0.098 | aux: 0.0086 | remaining: 947s    
step 00059 (1.0%) | loss: 5.771492 | lrm: 0.59 | dt: 164ms | tok/sec: 1,596,106 | mfu: 20.0% | epoch: 1 | router_ent: 2.288 | load_cv: 0.267 | max_load: 0.099 | aux: 0.0085 | remaining: 947s    
step 00060 (1.0%) | loss: 5.746033 | lrm: 0.60 | dt: 164ms | tok/sec: 1,593,827 | mfu: 19.9% | epoch: 1 | router_ent: 2.292 | load_cv: 0.267 | max_load: 0.099 | aux: 0.0084 | remaining: 947s    
step 00061 (1.1%) | loss: 5.723621 | lrm: 0.61 | dt: 164ms | tok/sec: 1,596,720 | mfu: 20.0% | epoch: 1 | router_ent: 2.297 | load_cv: 0.266 | max_load: 0.100 | aux: 0.0083 | remaining: 947s    
step 00062 (1.1%) | loss: 5.700884 | lrm: 0.62 | dt: 164ms | tok/sec: 1,602,889 | mfu: 20.1% | epoch: 1 | router_ent: 2.302 | load_cv: 0.260 | max_load: 0.098 | aux: 0.0082 | remaining: 946s    
step 00063 (1.1%) | loss: 5.681862 | lrm: 0.63 | dt: 164ms | tok/sec: 1,595,923 | mfu: 20.0% | epoch: 1 | router_ent: 2.308 | load_cv: 0.256 | max_load: 0.097 | aux: 0.0081 | remaining: 946s    
step 00064 (1.1%) | loss: 5.660415 | lrm: 0.64 | dt: 166ms | tok/sec: 1,576,091 | mfu: 19.7% | epoch: 1 | router_ent: 2.312 | load_cv: 0.259 | max_load: 0.097 | aux: 0.0080 | remaining: 946s    
step 00065 (1.1%) | loss: 5.639760 | lrm: 0.65 | dt: 164ms | tok/sec: 1,603,055 | mfu: 20.1% | epoch: 1 | router_ent: 2.318 | load_cv: 0.255 | max_load: 0.096 | aux: 0.0079 | remaining: 946s    
step 00066 (1.1%) | loss: 5.622199 | lrm: 0.66 | dt: 164ms | tok/sec: 1,594,752 | mfu: 20.0% | epoch: 1 | router_ent: 2.324 | load_cv: 0.253 | max_load: 0.095 | aux: 0.0077 | remaining: 946s    
step 00067 (1.2%) | loss: 5.607436 | lrm: 0.67 | dt: 164ms | tok/sec: 1,599,015 | mfu: 20.0% | epoch: 1 | router_ent: 2.327 | load_cv: 0.253 | max_load: 0.095 | aux: 0.0077 | remaining: 945s    
step 00068 (1.2%) | loss: 5.590534 | lrm: 0.68 | dt: 164ms | tok/sec: 1,602,415 | mfu: 20.0% | epoch: 1 | router_ent: 2.329 | load_cv: 0.253 | max_load: 0.094 | aux: 0.0075 | remaining: 945s    
step 00069 (1.2%) | loss: 5.573316 | lrm: 0.69 | dt: 165ms | tok/sec: 1,585,368 | mfu: 19.8% | epoch: 1 | router_ent: 2.333 | load_cv: 0.257 | max_load: 0.095 | aux: 0.0074 | remaining: 945s    
step 00070 (1.2%) | loss: 5.557356 | lrm: 0.70 | dt: 167ms | tok/sec: 1,571,363 | mfu: 19.7% | epoch: 1 | router_ent: 2.336 | load_cv: 0.255 | max_load: 0.095 | aux: 0.0073 | remaining: 945s    
step 00071 (1.2%) | loss: 5.544995 | lrm: 0.71 | dt: 164ms | tok/sec: 1,597,628 | mfu: 20.0% | epoch: 1 | router_ent: 2.340 | load_cv: 0.254 | max_load: 0.093 | aux: 0.0072 | remaining: 945s    
step 00072 (1.2%) | loss: 5.532326 | lrm: 0.72 | dt: 164ms | tok/sec: 1,603,291 | mfu: 20.1% | epoch: 1 | router_ent: 2.342 | load_cv: 0.261 | max_load: 0.093 | aux: 0.0071 | remaining: 944s    
step 00073 (1.3%) | loss: 5.520819 | lrm: 0.73 | dt: 166ms | tok/sec: 1,582,361 | mfu: 19.8% | epoch: 1 | router_ent: 2.345 | load_cv: 0.268 | max_load: 0.093 | aux: 0.0070 | remaining: 944s    
step 00074 (1.3%) | loss: 5.509520 | lrm: 0.74 | dt: 164ms | tok/sec: 1,598,782 | mfu: 20.0% | epoch: 1 | router_ent: 2.346 | load_cv: 0.270 | max_load: 0.093 | aux: 0.0069 | remaining: 944s    
step 00075 (1.3%) | loss: 5.496339 | lrm: 0.75 | dt: 164ms | tok/sec: 1,596,014 | mfu: 20.0% | epoch: 1 | router_ent: 2.347 | load_cv: 0.270 | max_load: 0.093 | aux: 0.0068 | remaining: 944s    
step 00076 (1.3%) | loss: 5.486592 | lrm: 0.76 | dt: 167ms | tok/sec: 1,569,331 | mfu: 19.6% | epoch: 1 | router_ent: 2.349 | load_cv: 0.273 | max_load: 0.094 | aux: 0.0067 | remaining: 944s    
step 00077 (1.3%) | loss: 5.477642 | lrm: 0.77 | dt: 165ms | tok/sec: 1,591,559 | mfu: 19.9% | epoch: 1 | router_ent: 2.348 | load_cv: 0.276 | max_load: 0.095 | aux: 0.0066 | remaining: 944s    
step 00078 (1.3%) | loss: 5.471389 | lrm: 0.78 | dt: 163ms | tok/sec: 1,603,429 | mfu: 20.1% | epoch: 1 | router_ent: 2.349 | load_cv: 0.279 | max_load: 0.096 | aux: 0.0064 | remaining: 943s    
step 00079 (1.4%) | loss: 5.461900 | lrm: 0.79 | dt: 166ms | tok/sec: 1,577,518 | mfu: 19.7% | epoch: 1 | router_ent: 2.349 | load_cv: 0.282 | max_load: 0.097 | aux: 0.0063 | remaining: 943s    
step 00080 (1.4%) | loss: 5.453834 | lrm: 0.80 | dt: 166ms | tok/sec: 1,578,630 | mfu: 19.7% | epoch: 1 | router_ent: 2.349 | load_cv: 0.280 | max_load: 0.096 | aux: 0.0062 | remaining: 943s    
