W0611 20:05:09.460000 1585503 site-packages/torch/distributed/run.py:803] 
W0611 20:05:09.460000 1585503 site-packages/torch/distributed/run.py:803] *****************************************
W0611 20:05:09.460000 1585503 site-packages/torch/distributed/run.py:803] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0611 20:05:09.460000 1585503 site-packages/torch/distributed/run.py:803] *****************************************
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Vocab size: 8,192
Distributed: world_size=4, rank=0, local_rank=0
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 7, 'n_head': 10, 'n_kv_head': 2, 'n_embd': 640, 'window_pattern': 'SSSL', 'num_experts': 16, 'top_k': 2, 'moe_hidden_dim': 2176, 'router_z_loss_coef': 0.00075, 'load_balance_loss_coef': 0.003, 'router_sigmoid_affinity': True, 'router_expert_bias': True, 'router_bias_ema_beta': 0.9, 'router_bias_eta': 0.001, 'router_bias_clamp': 0.25, 'exclusive_attention': True, 'headwise_attention_gate': True, 'attention_gate_init': 0.98, 'attention_gate_scale': 1.0, 'value_mix_enabled': True, 'value_mix_learned': False, 'value_mix_start_layer': 1, 'value_mix_normalized': False, 'value_mix_first_init': 0.75, 'value_mix_local_init': 0.25, 'value_mix_gamma_init': 0.7905694150420949, 'dense_early_layers': 2, 'dense_hidden_dim': 4352}
Parameter counts:
  wte                     : 5,242,880
  lm_head                 : 5,242,880
  transformer_matrices    : 357,922,560
  expert_total            : 334,233,600
  expert_active           : 41,779,200
  scalars                 : 77
  total                   : 368,408,397
  active                  : 75,953,997
Estimated active FLOPs per token: 4.950451e+08
AdamW peak lr: 0.003
Muon peak lr (attn_q): 0.0151789
Muon peak lr (attn_k): 0.0151789
Muon peak lr (attn_v): 0.0151789
Muon peak lr (attn_proj): 0.0151789
Muon peak lr (router): 0.0151789
Muon peak lr (expert_gate): 0.0279886
Muon peak lr (expert_up): 0.0279886
Muon peak lr (expert_down): 0.0279886
Muon peak lr (dense_gate): 0.0395818
Muon peak lr (dense_up): 0.0395818
Muon peak lr (dense_down): 0.0395818
Time budget: 450s
Estimated total steps for LR schedule: 5800
Max train steps: 5800
Global batch tokens: 262,144
Device batch size: 32
Gradient accumulation steps: 1
Eval batch size: 64

step 00000 (0.0%) | loss: 9.511499 | lrm: 0.00 | dt: 37219ms | tok/sec: 7,043 | mfu: 0.1% | epoch: 1 | router_ent: 2.376 | load_cv: 0.191 | max_load: 0.087 | aux: 0.0077 | remaining: 215833s    
step 00001 (0.0%) | loss: 9.512227 | lrm: 0.01 | dt: 141ms | tok/sec: 1,859,573 | mfu: 23.3% | epoch: 1 | router_ent: 2.375 | load_cv: 0.187 | max_load: 0.087 | aux: 0.0077 | remaining: 817s    
step 00002 (0.0%) | loss: 9.510996 | lrm: 0.02 | dt: 141ms | tok/sec: 1,862,051 | mfu: 23.3% | epoch: 1 | router_ent: 2.376 | load_cv: 0.187 | max_load: 0.088 | aux: 0.0077 | remaining: 816s    
step 00003 (0.1%) | loss: 9.506466 | lrm: 0.03 | dt: 142ms | tok/sec: 1,847,033 | mfu: 23.1% | epoch: 1 | router_ent: 2.376 | load_cv: 0.185 | max_load: 0.088 | aux: 0.0077 | remaining: 823s    
step 00004 (0.1%) | loss: 9.497065 | lrm: 0.04 | dt: 142ms | tok/sec: 1,846,041 | mfu: 23.1% | epoch: 1 | router_ent: 2.376 | load_cv: 0.183 | max_load: 0.086 | aux: 0.0077 | remaining: 823s    
step 00005 (0.1%) | loss: 9.483665 | lrm: 0.05 | dt: 142ms | tok/sec: 1,847,710 | mfu: 23.1% | epoch: 1 | router_ent: 2.377 | load_cv: 0.185 | max_load: 0.087 | aux: 0.0077 | remaining: 822s    
step 00006 (0.1%) | loss: 9.463512 | lrm: 0.06 | dt: 142ms | tok/sec: 1,852,186 | mfu: 23.2% | epoch: 1 | router_ent: 2.377 | load_cv: 0.189 | max_load: 0.087 | aux: 0.0077 | remaining: 820s    
step 00007 (0.1%) | loss: 9.437268 | lrm: 0.07 | dt: 147ms | tok/sec: 1,780,210 | mfu: 22.3% | epoch: 1 | router_ent: 2.377 | load_cv: 0.186 | max_load: 0.088 | aux: 0.0077 | remaining: 853s    
step 00008 (0.1%) | loss: 9.403245 | lrm: 0.08 | dt: 143ms | tok/sec: 1,829,199 | mfu: 22.9% | epoch: 1 | router_ent: 2.377 | load_cv: 0.186 | max_load: 0.088 | aux: 0.0077 | remaining: 830s    
step 00009 (0.2%) | loss: 9.362796 | lrm: 0.09 | dt: 143ms | tok/sec: 1,838,663 | mfu: 23.0% | epoch: 1 | router_ent: 2.376 | load_cv: 0.191 | max_load: 0.089 | aux: 0.0077 | remaining: 825s    
step 00010 (0.2%) | loss: 9.313731 | lrm: 0.10 | dt: 142ms | tok/sec: 1,846,367 | mfu: 23.1% | epoch: 1 | router_ent: 2.377 | load_cv: 0.193 | max_load: 0.088 | aux: 0.0077 | remaining: 822s    
step 00011 (0.2%) | loss: 9.257582 | lrm: 0.11 | dt: 141ms | tok/sec: 1,856,029 | mfu: 23.2% | epoch: 1 | router_ent: 2.376 | load_cv: 0.199 | max_load: 0.089 | aux: 0.0077 | remaining: 817s    
step 00012 (0.2%) | loss: 9.194260 | lrm: 0.12 | dt: 144ms | tok/sec: 1,822,278 | mfu: 22.8% | epoch: 1 | router_ent: 2.375 | load_cv: 0.212 | max_load: 0.092 | aux: 0.0077 | remaining: 825s    
step 00013 (0.2%) | loss: 9.122936 | lrm: 0.13 | dt: 143ms | tok/sec: 1,837,323 | mfu: 23.0% | epoch: 1 | router_ent: 2.372 | load_cv: 0.229 | max_load: 0.095 | aux: 0.0077 | remaining: 825s    
step 00014 (0.2%) | loss: 9.043560 | lrm: 0.14 | dt: 144ms | tok/sec: 1,821,230 | mfu: 22.8% | epoch: 1 | router_ent: 2.370 | load_cv: 0.252 | max_load: 0.097 | aux: 0.0077 | remaining: 827s    
step 00015 (0.3%) | loss: 8.957540 | lrm: 0.15 | dt: 145ms | tok/sec: 1,813,998 | mfu: 22.7% | epoch: 1 | router_ent: 2.368 | load_cv: 0.277 | max_load: 0.102 | aux: 0.0077 | remaining: 829s    
step 00016 (0.3%) | loss: 8.865808 | lrm: 0.16 | dt: 144ms | tok/sec: 1,826,640 | mfu: 22.8% | epoch: 1 | router_ent: 2.366 | load_cv: 0.306 | max_load: 0.107 | aux: 0.0076 | remaining: 829s    
step 00017 (0.3%) | loss: 8.770510 | lrm: 0.17 | dt: 143ms | tok/sec: 1,837,026 | mfu: 23.0% | epoch: 1 | router_ent: 2.362 | load_cv: 0.340 | max_load: 0.114 | aux: 0.0076 | remaining: 828s    
step 00018 (0.3%) | loss: 8.669238 | lrm: 0.18 | dt: 145ms | tok/sec: 1,811,273 | mfu: 22.7% | epoch: 1 | router_ent: 2.359 | load_cv: 0.373 | max_load: 0.119 | aux: 0.0076 | remaining: 829s    
step 00019 (0.3%) | loss: 8.561175 | lrm: 0.19 | dt: 143ms | tok/sec: 1,830,956 | mfu: 22.9% | epoch: 1 | router_ent: 2.357 | load_cv: 0.404 | max_load: 0.124 | aux: 0.0076 | remaining: 829s    
step 00020 (0.3%) | loss: 8.446288 | lrm: 0.20 | dt: 144ms | tok/sec: 1,820,748 | mfu: 22.8% | epoch: 1 | router_ent: 2.354 | load_cv: 0.435 | max_load: 0.127 | aux: 0.0076 | remaining: 829s    
step 00021 (0.4%) | loss: 8.329201 | lrm: 0.21 | dt: 146ms | tok/sec: 1,790,615 | mfu: 22.4% | epoch: 1 | router_ent: 2.352 | load_cv: 0.477 | max_load: 0.134 | aux: 0.0076 | remaining: 830s    
step 00022 (0.4%) | loss: 8.205096 | lrm: 0.22 | dt: 145ms | tok/sec: 1,804,856 | mfu: 22.6% | epoch: 1 | router_ent: 2.349 | load_cv: 0.513 | max_load: 0.140 | aux: 0.0076 | remaining: 831s    
step 00023 (0.4%) | loss: 8.077811 | lrm: 0.23 | dt: 144ms | tok/sec: 1,825,163 | mfu: 22.8% | epoch: 1 | router_ent: 2.348 | load_cv: 0.551 | max_load: 0.145 | aux: 0.0076 | remaining: 831s    
step 00024 (0.4%) | loss: 7.952999 | lrm: 0.24 | dt: 144ms | tok/sec: 1,814,426 | mfu: 22.7% | epoch: 1 | router_ent: 2.348 | load_cv: 0.575 | max_load: 0.149 | aux: 0.0075 | remaining: 831s    
step 00025 (0.4%) | loss: 7.822268 | lrm: 0.25 | dt: 145ms | tok/sec: 1,802,974 | mfu: 22.6% | epoch: 1 | router_ent: 2.347 | load_cv: 0.613 | max_load: 0.155 | aux: 0.0075 | remaining: 831s    
step 00026 (0.4%) | loss: 7.695371 | lrm: 0.26 | dt: 147ms | tok/sec: 1,787,812 | mfu: 22.4% | epoch: 1 | router_ent: 2.348 | load_cv: 0.638 | max_load: 0.160 | aux: 0.0074 | remaining: 832s    
step 00027 (0.5%) | loss: 7.576800 | lrm: 0.27 | dt: 145ms | tok/sec: 1,805,491 | mfu: 22.6% | epoch: 1 | router_ent: 2.350 | load_cv: 0.654 | max_load: 0.162 | aux: 0.0074 | remaining: 832s    
step 00028 (0.5%) | loss: 7.463116 | lrm: 0.28 | dt: 145ms | tok/sec: 1,803,326 | mfu: 22.6% | epoch: 1 | router_ent: 2.352 | load_cv: 0.671 | max_load: 0.165 | aux: 0.0073 | remaining: 833s    
step 00029 (0.5%) | loss: 7.354709 | lrm: 0.29 | dt: 145ms | tok/sec: 1,807,993 | mfu: 22.6% | epoch: 1 | router_ent: 2.355 | load_cv: 0.671 | max_load: 0.163 | aux: 0.0073 | remaining: 833s    
step 00030 (0.5%) | loss: 7.254418 | lrm: 0.30 | dt: 143ms | tok/sec: 1,829,339 | mfu: 22.9% | epoch: 1 | router_ent: 2.356 | load_cv: 0.661 | max_load: 0.158 | aux: 0.0072 | remaining: 832s    
step 00031 (0.5%) | loss: 7.160791 | lrm: 0.31 | dt: 145ms | tok/sec: 1,805,891 | mfu: 22.6% | epoch: 1 | router_ent: 2.358 | load_cv: 0.643 | max_load: 0.150 | aux: 0.0072 | remaining: 832s    
step 00032 (0.6%) | loss: 7.069792 | lrm: 0.32 | dt: 145ms | tok/sec: 1,810,274 | mfu: 22.6% | epoch: 1 | router_ent: 2.359 | load_cv: 0.620 | max_load: 0.148 | aux: 0.0071 | remaining: 832s    
step 00033 (0.6%) | loss: 6.980363 | lrm: 0.33 | dt: 145ms | tok/sec: 1,811,377 | mfu: 22.7% | epoch: 1 | router_ent: 2.358 | load_cv: 0.592 | max_load: 0.146 | aux: 0.0070 | remaining: 832s    
step 00034 (0.6%) | loss: 6.896741 | lrm: 0.34 | dt: 145ms | tok/sec: 1,808,451 | mfu: 22.6% | epoch: 1 | router_ent: 2.357 | load_cv: 0.559 | max_load: 0.142 | aux: 0.0070 | remaining: 832s    
step 00035 (0.6%) | loss: 6.814729 | lrm: 0.35 | dt: 145ms | tok/sec: 1,810,852 | mfu: 22.6% | epoch: 1 | router_ent: 2.356 | load_cv: 0.527 | max_load: 0.137 | aux: 0.0069 | remaining: 832s    
step 00036 (0.6%) | loss: 6.738451 | lrm: 0.36 | dt: 145ms | tok/sec: 1,811,571 | mfu: 22.7% | epoch: 1 | router_ent: 2.354 | load_cv: 0.497 | max_load: 0.133 | aux: 0.0069 | remaining: 832s    
step 00037 (0.6%) | loss: 6.663539 | lrm: 0.37 | dt: 143ms | tok/sec: 1,836,750 | mfu: 23.0% | epoch: 1 | router_ent: 2.351 | load_cv: 0.476 | max_load: 0.130 | aux: 0.0069 | remaining: 832s    
step 00038 (0.7%) | loss: 6.593689 | lrm: 0.38 | dt: 144ms | tok/sec: 1,816,876 | mfu: 22.7% | epoch: 1 | router_ent: 2.349 | load_cv: 0.463 | max_load: 0.130 | aux: 0.0068 | remaining: 831s    
step 00039 (0.7%) | loss: 6.525192 | lrm: 0.39 | dt: 143ms | tok/sec: 1,831,039 | mfu: 22.9% | epoch: 1 | router_ent: 2.348 | load_cv: 0.441 | max_load: 0.126 | aux: 0.0068 | remaining: 831s    
step 00040 (0.7%) | loss: 6.461626 | lrm: 0.40 | dt: 143ms | tok/sec: 1,827,065 | mfu: 22.9% | epoch: 1 | router_ent: 2.347 | load_cv: 0.423 | max_load: 0.123 | aux: 0.0068 | remaining: 831s    
step 00041 (0.7%) | loss: 6.401016 | lrm: 0.41 | dt: 143ms | tok/sec: 1,835,305 | mfu: 23.0% | epoch: 1 | router_ent: 2.347 | load_cv: 0.409 | max_load: 0.120 | aux: 0.0067 | remaining: 830s    
step 00042 (0.7%) | loss: 6.344275 | lrm: 0.42 | dt: 147ms | tok/sec: 1,788,754 | mfu: 22.4% | epoch: 1 | router_ent: 2.348 | load_cv: 0.396 | max_load: 0.117 | aux: 0.0067 | remaining: 831s    
step 00043 (0.7%) | loss: 6.289088 | lrm: 0.43 | dt: 145ms | tok/sec: 1,811,109 | mfu: 22.7% | epoch: 1 | router_ent: 2.349 | load_cv: 0.390 | max_load: 0.119 | aux: 0.0066 | remaining: 831s    
step 00044 (0.8%) | loss: 6.239163 | lrm: 0.44 | dt: 143ms | tok/sec: 1,838,150 | mfu: 23.0% | epoch: 1 | router_ent: 2.350 | load_cv: 0.378 | max_load: 0.117 | aux: 0.0065 | remaining: 830s    
step 00045 (0.8%) | loss: 6.186183 | lrm: 0.45 | dt: 144ms | tok/sec: 1,818,104 | mfu: 22.7% | epoch: 1 | router_ent: 2.350 | load_cv: 0.375 | max_load: 0.116 | aux: 0.0065 | remaining: 830s    
step 00046 (0.8%) | loss: 6.136256 | lrm: 0.46 | dt: 146ms | tok/sec: 1,800,650 | mfu: 22.5% | epoch: 1 | router_ent: 2.351 | load_cv: 0.365 | max_load: 0.114 | aux: 0.0064 | remaining: 830s    
step 00047 (0.8%) | loss: 6.091491 | lrm: 0.47 | dt: 143ms | tok/sec: 1,830,396 | mfu: 22.9% | epoch: 1 | router_ent: 2.353 | load_cv: 0.359 | max_load: 0.114 | aux: 0.0064 | remaining: 830s    
step 00048 (0.8%) | loss: 6.049824 | lrm: 0.48 | dt: 143ms | tok/sec: 1,834,050 | mfu: 22.9% | epoch: 1 | router_ent: 2.353 | load_cv: 0.353 | max_load: 0.112 | aux: 0.0063 | remaining: 829s    
step 00049 (0.8%) | loss: 6.010163 | lrm: 0.49 | dt: 144ms | tok/sec: 1,824,297 | mfu: 22.8% | epoch: 1 | router_ent: 2.355 | load_cv: 0.343 | max_load: 0.109 | aux: 0.0062 | remaining: 829s    
step 00050 (0.9%) | loss: 5.970114 | lrm: 0.50 | dt: 144ms | tok/sec: 1,819,232 | mfu: 22.8% | epoch: 1 | router_ent: 2.356 | load_cv: 0.335 | max_load: 0.107 | aux: 0.0062 | remaining: 829s    
step 00051 (0.9%) | loss: 5.931507 | lrm: 0.51 | dt: 143ms | tok/sec: 1,837,084 | mfu: 23.0% | epoch: 1 | router_ent: 2.358 | load_cv: 0.327 | max_load: 0.105 | aux: 0.0061 | remaining: 829s    
step 00052 (0.9%) | loss: 5.898836 | lrm: 0.52 | dt: 145ms | tok/sec: 1,806,570 | mfu: 22.6% | epoch: 1 | router_ent: 2.361 | load_cv: 0.322 | max_load: 0.104 | aux: 0.0061 | remaining: 829s    
step 00053 (0.9%) | loss: 5.866070 | lrm: 0.53 | dt: 146ms | tok/sec: 1,793,393 | mfu: 22.4% | epoch: 1 | router_ent: 2.364 | load_cv: 0.317 | max_load: 0.104 | aux: 0.0060 | remaining: 829s    
step 00054 (0.9%) | loss: 5.837149 | lrm: 0.54 | dt: 143ms | tok/sec: 1,834,203 | mfu: 22.9% | epoch: 1 | router_ent: 2.368 | load_cv: 0.312 | max_load: 0.104 | aux: 0.0059 | remaining: 828s    
step 00055 (0.9%) | loss: 5.809183 | lrm: 0.55 | dt: 145ms | tok/sec: 1,806,760 | mfu: 22.6% | epoch: 1 | router_ent: 2.371 | load_cv: 0.305 | max_load: 0.105 | aux: 0.0058 | remaining: 828s    
step 00056 (1.0%) | loss: 5.782772 | lrm: 0.56 | dt: 144ms | tok/sec: 1,820,106 | mfu: 22.8% | epoch: 1 | router_ent: 2.375 | load_cv: 0.302 | max_load: 0.104 | aux: 0.0058 | remaining: 828s    
step 00057 (1.0%) | loss: 5.757065 | lrm: 0.57 | dt: 144ms | tok/sec: 1,821,128 | mfu: 22.8% | epoch: 1 | router_ent: 2.381 | load_cv: 0.298 | max_load: 0.103 | aux: 0.0057 | remaining: 828s    
step 00058 (1.0%) | loss: 5.733114 | lrm: 0.58 | dt: 148ms | tok/sec: 1,766,110 | mfu: 22.1% | epoch: 1 | router_ent: 2.386 | load_cv: 0.294 | max_load: 0.102 | aux: 0.0056 | remaining: 828s    
step 00059 (1.0%) | loss: 5.708057 | lrm: 0.59 | dt: 145ms | tok/sec: 1,813,666 | mfu: 22.7% | epoch: 1 | router_ent: 2.391 | load_cv: 0.298 | max_load: 0.103 | aux: 0.0055 | remaining: 828s    
step 00060 (1.0%) | loss: 5.686183 | lrm: 0.60 | dt: 144ms | tok/sec: 1,825,036 | mfu: 22.8% | epoch: 1 | router_ent: 2.396 | load_cv: 0.294 | max_load: 0.101 | aux: 0.0054 | remaining: 828s    
step 00061 (1.1%) | loss: 5.667174 | lrm: 0.61 | dt: 145ms | tok/sec: 1,803,364 | mfu: 22.6% | epoch: 1 | router_ent: 2.400 | load_cv: 0.287 | max_load: 0.101 | aux: 0.0053 | remaining: 828s    
step 00062 (1.1%) | loss: 5.647931 | lrm: 0.62 | dt: 143ms | tok/sec: 1,835,296 | mfu: 23.0% | epoch: 1 | router_ent: 2.404 | load_cv: 0.283 | max_load: 0.099 | aux: 0.0052 | remaining: 828s    
step 00063 (1.1%) | loss: 5.632011 | lrm: 0.63 | dt: 145ms | tok/sec: 1,811,896 | mfu: 22.7% | epoch: 1 | router_ent: 2.408 | load_cv: 0.285 | max_load: 0.098 | aux: 0.0052 | remaining: 828s    
step 00064 (1.1%) | loss: 5.613670 | lrm: 0.64 | dt: 145ms | tok/sec: 1,806,381 | mfu: 22.6% | epoch: 1 | router_ent: 2.412 | load_cv: 0.287 | max_load: 0.098 | aux: 0.0051 | remaining: 828s    
step 00065 (1.1%) | loss: 5.596133 | lrm: 0.65 | dt: 144ms | tok/sec: 1,826,573 | mfu: 22.8% | epoch: 1 | router_ent: 2.415 | load_cv: 0.293 | max_load: 0.100 | aux: 0.0050 | remaining: 827s    
step 00066 (1.1%) | loss: 5.581280 | lrm: 0.66 | dt: 146ms | tok/sec: 1,796,408 | mfu: 22.5% | epoch: 1 | router_ent: 2.419 | load_cv: 0.293 | max_load: 0.100 | aux: 0.0049 | remaining: 827s    
step 00067 (1.2%) | loss: 5.569123 | lrm: 0.67 | dt: 145ms | tok/sec: 1,812,431 | mfu: 22.7% | epoch: 1 | router_ent: 2.421 | load_cv: 0.285 | max_load: 0.097 | aux: 0.0048 | remaining: 827s    
step 00068 (1.2%) | loss: 5.554597 | lrm: 0.68 | dt: 144ms | tok/sec: 1,824,243 | mfu: 22.8% | epoch: 1 | router_ent: 2.424 | load_cv: 0.288 | max_load: 0.098 | aux: 0.0047 | remaining: 827s    
step 00069 (1.2%) | loss: 5.539757 | lrm: 0.69 | dt: 144ms | tok/sec: 1,815,145 | mfu: 22.7% | epoch: 1 | router_ent: 2.426 | load_cv: 0.286 | max_load: 0.096 | aux: 0.0046 | remaining: 827s    
step 00070 (1.2%) | loss: 5.526082 | lrm: 0.70 | dt: 146ms | tok/sec: 1,796,156 | mfu: 22.5% | epoch: 1 | router_ent: 2.428 | load_cv: 0.285 | max_load: 0.096 | aux: 0.0046 | remaining: 827s    
step 00071 (1.2%) | loss: 5.516143 | lrm: 0.71 | dt: 142ms | tok/sec: 1,840,950 | mfu: 23.0% | epoch: 1 | router_ent: 2.430 | load_cv: 0.281 | max_load: 0.095 | aux: 0.0045 | remaining: 827s    
step 00072 (1.2%) | loss: 5.505844 | lrm: 0.72 | dt: 145ms | tok/sec: 1,811,711 | mfu: 22.7% | epoch: 1 | router_ent: 2.430 | load_cv: 0.279 | max_load: 0.095 | aux: 0.0044 | remaining: 827s    
step 00073 (1.3%) | loss: 5.496333 | lrm: 0.73 | dt: 146ms | tok/sec: 1,801,063 | mfu: 22.5% | epoch: 1 | router_ent: 2.432 | load_cv: 0.283 | max_load: 0.096 | aux: 0.0043 | remaining: 826s    
step 00074 (1.3%) | loss: 5.486704 | lrm: 0.74 | dt: 144ms | tok/sec: 1,818,041 | mfu: 22.7% | epoch: 1 | router_ent: 2.432 | load_cv: 0.290 | max_load: 0.098 | aux: 0.0043 | remaining: 826s    
step 00075 (1.3%) | loss: 5.475525 | lrm: 0.75 | dt: 143ms | tok/sec: 1,831,005 | mfu: 22.9% | epoch: 1 | router_ent: 2.432 | load_cv: 0.289 | max_load: 0.098 | aux: 0.0042 | remaining: 826s    
step 00076 (1.3%) | loss: 5.467391 | lrm: 0.76 | dt: 144ms | tok/sec: 1,817,344 | mfu: 22.7% | epoch: 1 | router_ent: 2.430 | load_cv: 0.296 | max_load: 0.100 | aux: 0.0041 | remaining: 826s    
step 00077 (1.3%) | loss: 5.460103 | lrm: 0.77 | dt: 146ms | tok/sec: 1,800,034 | mfu: 22.5% | epoch: 1 | router_ent: 2.431 | load_cv: 0.292 | max_load: 0.101 | aux: 0.0041 | remaining: 826s    
step 00078 (1.3%) | loss: 5.455349 | lrm: 0.78 | dt: 143ms | tok/sec: 1,838,110 | mfu: 23.0% | epoch: 1 | router_ent: 2.430 | load_cv: 0.295 | max_load: 0.102 | aux: 0.0040 | remaining: 826s    
step 00079 (1.4%) | loss: 5.447306 | lrm: 0.79 | dt: 146ms | tok/sec: 1,793,940 | mfu: 22.4% | epoch: 1 | router_ent: 2.429 | load_cv: 0.299 | max_load: 0.103 | aux: 0.0039 | remaining: 826s    
step 00080 (1.4%) | loss: 5.440671 | lrm: 0.80 | dt: 145ms | tok/sec: 1,812,796 | mfu: 22.7% | epoch: 1 | router_ent: 2.426 | load_cv: 0.293 | max_load: 0.102 | aux: 0.0039 | remaining: 826s    
step 00081 (1.4%) | loss: 5.432460 | lrm: 0.81 | dt: 143ms | tok/sec: 1,827,827 | mfu: 22.9% | epoch: 1 | router_ent: 2.422 | load_cv: 0.310 | max_load: 0.102 | aux: 0.0038 | remaining: 825s    
step 00082 (1.4%) | loss: 5.422960 | lrm: 0.82 | dt: 146ms | tok/sec: 1,793,080 | mfu: 22.4% | epoch: 1 | router_ent: 2.422 | load_cv: 0.309 | max_load: 0.102 | aux: 0.0037 | remaining: 825s    
step 00083 (1.4%) | loss: 5.416165 | lrm: 0.83 | dt: 145ms | tok/sec: 1,812,458 | mfu: 22.7% | epoch: 1 | router_ent: 2.417 | load_cv: 0.311 | max_load: 0.103 | aux: 0.0037 | remaining: 825s    
step 00084 (1.4%) | loss: 5.407347 | lrm: 0.84 | dt: 144ms | tok/sec: 1,816,807 | mfu: 22.7% | epoch: 1 | router_ent: 2.418 | load_cv: 0.293 | max_load: 0.098 | aux: 0.0036 | remaining: 825s    
step 00085 (1.5%) | loss: 5.401470 | lrm: 0.85 | dt: 145ms | tok/sec: 1,811,410 | mfu: 22.7% | epoch: 1 | router_ent: 2.409 | load_cv: 0.310 | max_load: 0.102 | aux: 0.0036 | remaining: 825s    
step 00086 (1.5%) | loss: 5.392672 | lrm: 0.86 | dt: 145ms | tok/sec: 1,813,771 | mfu: 22.7% | epoch: 1 | router_ent: 2.410 | load_cv: 0.316 | max_load: 0.102 | aux: 0.0035 | remaining: 825s    
step 00087 (1.5%) | loss: 5.385560 | lrm: 0.87 | dt: 143ms | tok/sec: 1,828,140 | mfu: 22.9% | epoch: 1 | router_ent: 2.405 | load_cv: 0.336 | max_load: 0.105 | aux: 0.0034 | remaining: 825s    
step 00088 (1.5%) | loss: 5.381401 | lrm: 0.88 | dt: 145ms | tok/sec: 1,809,955 | mfu: 22.6% | epoch: 1 | router_ent: 2.402 | load_cv: 0.338 | max_load: 0.105 | aux: 0.0034 | remaining: 824s    
step 00089 (1.5%) | loss: 5.373282 | lrm: 0.89 | dt: 146ms | tok/sec: 1,792,481 | mfu: 22.4% | epoch: 1 | router_ent: 2.399 | load_cv: 0.336 | max_load: 0.104 | aux: 0.0033 | remaining: 824s    
